Milestone_ID,Project_ID,Milestone_Name,Planned_Date,Actual_Date,Status,Milestone_Delay_Days,Delay_Category
M5051,P1010,Safety Inspection,2023-01-16,2023-01-16,Completed,0.0,On Time
M5052,P1010,Major Construction,2023-03-19,2023-03-24,Completed,5.0,On Time
M5053,P1010,Design Approval,2023-05-20,2023-06-15,Delayed,26.0,Major Delay
M5054,P1010,Land Acquisition,2023-07-21,,Not Started,,On Time
M5055,P1011,Final Handover,2024-08-07,2024-08-12,Completed,5.0,On Time
M5056,P1011,Land Acquisition,2024-12-17,,Pending,,On Time
M5057,P1011,Foundation,2025-04-29,2025-06-03,Delayed,35.0,Major Delay
M5058,P1011,Design Approval,2025-09-08,,In Progress,,On Time
M5059,P1011,Major Construction,2026-01-19,2026-01-29,Completed,10.0,Minor Delay
M5060,P1011,Testing,2026-05-31,2026-05-31,Delayed,0.0,On Time
M5061,P1012,Foundation,2022-03-08,2022-03-13,Completed,5.0,On Time
M5062,P1012,Structural Work,2022-04-29,2022-05-01,Delayed,2.0,On Time
M5063,P1012,Land Acquisition,2022-06-20,2022-06-20,Completed,0.0,On Time
M5064,P1012,Testing,2022-08-11,2022-08-31,Delayed,20.0,Minor Delay
M5065,P1012,Final Handover,2022-10-02,2022-12-11,Delayed,70.0,Extreme Delay
M5066,P1013,Safety Inspection,2023-02-12,2023-02-14,Delayed,2.0,On Time
M5067,P1013,Design Approval,2023-06-29,,Not Started,,On Time
M5068,P1013,Land Acquisition,2023-11-14,,Not Started,,On Time
M5069,P1013,Testing,2024-03-30,2024-04-04,Completed,5.0,On Time
M5070,P1013,Foundation,2024-08-14,2024-08-14,Delayed,0.0,On Time
M5071,P1014,Foundation,2022-08-15,,Not Started,,On Time
M5072,P1014,Land Acquisition,2022-12-09,2023-01-18,Delayed,40.0,Extreme Delay
M5073,P1014,Final Handover,2023-04-04,2023-04-06,Completed,2.0,On Time
M5074,P1014,Safety Inspection,2023-07-29,2023-08-23,Delayed,25.0,Major Delay
M5075,P1014,Structural Work,2023-11-22,2023-11-22,Completed,0.0,On Time
M5076,P1014,Major Construction,2024-03-17,2024-05-31,Delayed,75.0,Extreme Delay
M5077,P1014,Design Approval,2024-07-11,2024-08-15,Completed,35.0,Major Delay
M5078,P1015,Safety Inspection,2023-04-26,2023-05-06,Completed,10.0,Minor Delay
M5079,P1015,Design Approval,2023-08-09,2023-08-19,Completed,10.0,Minor Delay
M5080,P1015,Foundation,2023-11-22,2023-11-27,Completed,5.0,On Time
M5081,P1015,Structural Work,2024-03-06,,Completed,,On Time
M5082,P1016,Testing,2023-04-17,,Not Started,,On Time
M5083,P1016,Safety Inspection,2023-08-26,2023-08-26,Delayed,0.0,On Time
M5084,P1016,Major Construction,2024-01-04,,In Progress,,On Time
M5085,P1016,Structural Work,2024-05-14,,Not Started,,On Time
M5086,P1017,Structural Work,2026-03-08,2026-03-28,Completed,20.0,Minor Delay
M5087,P1017,Final Handover,2026-06-17,2026-08-16,Delayed,60.0,Extreme Delay
M5088,P1017,Foundation,2026-09-26,2026-09-28,Completed,2.0,On Time
M5089,P1017,Land Acquisition,2027-01-05,,Pending,,On Time
M5090,P1017,Safety Inspection,2027-04-16,2027-04-16,,0.0,On Time
M5091,P1017,Testing,2027-07-26,2027-09-24,Completed,60.0,Extreme Delay
M5092,P1017,Major Construction,2027-11-04,,In Progress,,On Time
M5093,P1018,Design Approval,2025-07-24,2025-07-29,Delayed,5.0,On Time
M5094,P1018,Land Acquisition,2025-11-05,,Pending,,On Time
M5095,P1018,Structural Work,2026-02-17,,Not Started,,On Time
M5096,P1018,Major Construction,2026-06-01,,In Progress,,On Time
M5097,P1018,Testing,2026-09-13,2026-09-15,Completed,2.0,On Time
M5098,P1018,Foundation,2026-12-26,,Not Started,,On Time
M5099,P1019,Design Approval,2025-06-18,,In Progress,,On Time
M5100,P1019,Major Construction,2025-09-24,,In Progress,,On Time
M5101,P1019,Land Acquisition,2026-01-01,2026-01-11,Delayed,10.0,Minor Delay
M5102,P1019,Foundation,2026-04-09,2026-04-14,Delayed,5.0,On Time
M5103,P1020,,2024-05-22,2024-06-01,Completed,10.0,Minor Delay
M5104,P1020,Land Acquisition,2024-07-23,,Pending,,On Time
M5105,P1020,Structural Work,2024-09-24,2024-11-23,Completed,60.0,Extreme Delay
M5106,P1020,Foundation,2024-11-25,2025-01-24,,60.0,Extreme Delay
M5107,P1020,Design Approval,2025-01-26,,Not Started,,On Time
M5108,P1021,Structural Work,2023-08-11,2023-08-16,Completed,5.0,On Time
M5109,P1021,Design Approval,2024-01-10,2024-01-30,Completed,20.0,Minor Delay
M5110,P1021,Foundation,2024-06-09,2024-06-11,,2.0,On Time
M5111,P1021,Final Handover,2024-11-08,2025-01-07,Completed,60.0,Extreme Delay
M5112,P1022,Foundation,2025-02-06,2025-04-07,Completed,60.0,Extreme Delay
M5113,P1022,Land Acquisition,2025-03-28,2025-05-27,Completed,60.0,Extreme Delay
M5114,P1022,Final Handover,2025-05-16,,Pending,,On Time
M5115,P1022,Major Construction,2025-07-05,2025-07-05,Completed,0.0,On Time
M5116,P1023,Major Construction,2025-08-06,2025-09-05,Delayed,30.0,Major Delay
M5117,P1023,Foundation,2025-10-21,2025-12-05,Delayed,45.0,Extreme Delay
M5118,P1023,Structural Work,2026-01-05,2026-01-25,Delayed,20.0,Minor Delay
M5119,P1023,Final Handover,2026-03-22,2026-05-21,Delayed,60.0,Extreme Delay
M5120,P1023,Testing,,2026-08-04,Delayed,,On Time
M5121,P1024,Foundation,,2022-04-03,Completed,,On Time
M5122,P1024,,2022-06-23,,Not Started,,On Time
M5123,P1024,Final Handover,2022-09-14,2022-09-16,Completed,2.0,On Time
M5124,P1024,Land Acquisition,2022-12-06,2023-02-24,Delayed,80.0,Extreme Delay
M5125,P1024,Testing,2023-02-27,2023-04-28,Completed,60.0,Extreme Delay
M5126,P1024,Major Construction,2023-05-21,2023-05-23,Completed,2.0,On Time
M5127,P1025,Structural Work,2024-07-12,,Not Started,,On Time
M5128,P1025,Foundation,2024-12-26,,In Progress,,On Time
M5129,P1025,Major Construction,2025-06-11,,In Progress,,On Time
M5130,P1025,Safety Inspection,2025-11-25,2025-11-27,Delayed,2.0,On Time
M5131,P1026,Safety Inspection,2025-11-15,,Not Started,,On Time
M5132,P1026,Major Construction,2026-01-03,2026-02-07,Completed,35.0,Major Delay
M5133,P1026,Land Acquisition,2026-02-21,2026-02-26,Completed,5.0,On Time
M5134,P1026,Testing,2026-04-12,,In Progress,,On Time
M5135,P1026,Foundation,2026-05-31,2026-07-05,Completed,35.0,Major Delay
M5136,P1026,Structural Work,2026-07-19,2026-08-08,Completed,20.0,Minor Delay
M5137,P1027,Safety Inspection,2023-04-29,2023-07-16,Delayed,78.0,Extreme Delay
M5138,P1027,Testing,2023-08-23,,In Progress,,On Time
M5139,P1027,Foundation,2023-12-17,,In Progress,,On Time
M5140,P1027,Design Approval,2024-04-11,2024-04-11,Completed,0.0,On Time
M5141,P1028,Structural Work,2024-03-05,2024-03-07,Completed,2.0,On Time
M5142,P1028,Testing,2024-05-23,2024-06-02,Completed,10.0,Minor Delay
M5143,P1028,Major Construction,2024-08-10,2024-09-17,Delayed,38.0,Major Delay
M5144,P1028,Final Handover,2024-10-28,,In Progress,,On Time
M5145,P1028,Foundation,2025-01-15,2025-02-27,Delayed,43.0,Extreme Delay
M5146,P1028,Safety Inspection,2025-04-04,2025-05-09,Completed,35.0,Major Delay
M5147,P1029,Testing,2025-01-29,2025-03-30,Completed,60.0,Extreme Delay
M5148,P1029,Foundation,2025-04-20,2025-04-22,Completed,2.0,On Time
M5149,P1029,Safety Inspection,2025-07-10,,,,On Time
M5150,P1029,Major Construction,2025-09-29,2025-10-09,Completed,10.0,Minor Delay
M5151,P1029,Final Handover,2025-12-19,,Pending,,On Time
M5152,P1029,Design Approval,2026-03-10,2026-03-12,Completed,2.0,On Time
M5153,P1029,Land Acquisition,2026-05-30,2026-06-19,Delayed,20.0,Minor Delay
M5154,P1030,Testing,2025-08-28,2025-10-02,Completed,35.0,Major Delay
M5155,P1030,Safety Inspection,2025-12-20,2025-12-20,Completed,0.0,On Time
M5156,P1030,Final Handover,2026-04-13,2026-04-15,Completed,2.0,On Time
M5157,P1030,Design Approval,2026-08-05,2026-08-07,Delayed,2.0,On Time
M5158,P1030,Land Acquisition,2026-11-27,2027-01-26,,60.0,Extreme Delay
M5159,P1031,Safety Inspection,2022-05-12,,In Progress,,On Time
M5160,P1031,Testing,2022-09-18,2022-10-08,Completed,20.0,Minor Delay
M5161,P1031,Structural Work,2023-01-25,,Pending,,On Time
M5162,P1031,Final Handover,2023-06-02,,Not Started,,On Time
M5163,P1031,Major Construction,2023-10-09,2023-11-13,Completed,35.0,Major Delay
M5164,P1032,Structural Work,2025-02-04,2025-02-24,Completed,20.0,Minor Delay
M5165,P1032,Testing,2025-05-08,2025-07-07,Completed,60.0,Extreme Delay
M5166,P1032,Foundation,2025-08-09,2025-08-14,Delayed,5.0,On Time
M5167,P1032,Safety Inspection,2025-11-09,2026-01-06,Delayed,58.0,Extreme Delay
M5168,P1032,Design Approval,,2026-03-17,Completed,,On Time
M5169,P1033,Final Handover,2023-12-11,2024-01-15,Completed,35.0,Major Delay
M5170,P1033,Foundation,2024-03-14,2024-03-14,Completed,0.0,On Time
M5171,P1033,Design Approval,2024-06-15,2024-07-20,Completed,35.0,Major Delay
M5172,P1033,Testing,2024-09-17,2024-10-22,Completed,35.0,Major Delay
M5173,P1033,Structural Work,2024-12-19,,Not Started,,On Time
M5174,P1033,Land Acquisition,2025-03-23,2025-03-23,Completed,0.0,On Time
M5175,P1034,Land Acquisition,2025-04-05,2025-04-05,Completed,0.0,On Time
M5176,P1034,Testing,2025-08-28,2025-08-30,,2.0,On Time
M5177,P1034,Final Handover,2026-01-20,2026-02-05,Delayed,16.0,Minor Delay
M5178,P1034,Structural Work,2026-06-14,2026-07-19,Completed,35.0,Major Delay
M5179,P1035,Foundation,2023-06-08,2023-06-08,Delayed,0.0,On Time
M5180,P1035,Structural Work,2023-08-10,2023-08-12,Completed,2.0,On Time
M5181,P1035,Land Acquisition,2023-10-12,2023-10-14,Completed,2.0,On Time
M5182,P1035,Major Construction,2023-12-15,2023-12-20,,5.0,On Time
M5183,P1035,Testing,2024-02-16,2024-02-26,Completed,10.0,Minor Delay
M5184,P1035,Design Approval,2024-04-19,2024-04-29,Completed,10.0,Minor Delay
M5185,P1036,Land Acquisition,2024-06-29,,Not Started,,On Time
M5186,P1036,Final Handover,2024-10-31,2024-10-31,Completed,0.0,On Time
M5187,P1036,Testing,2025-03-05,,Pending,,On Time
M5188,P1036,Safety Inspection,2025-07-07,,Not Started,,On Time
M5189,P1036,Major Construction,2025-11-08,2025-11-13,Completed,5.0,On Time
M5190,P1037,Land Acquisition,2025-02-23,2025-02-23,Completed,0.0,On Time
M5191,P1037,Final Handover,2025-05-23,2025-05-23,Completed,0.0,On Time
M5192,P1037,Design Approval,2025-08-21,2025-09-25,Completed,35.0,Major Delay
M5193,P1037,Safety Inspection,2025-11-18,2025-11-28,Completed,10.0,Minor Delay
M5194,P1037,Foundation,2026-02-15,2026-02-15,Completed,0.0,On Time
M5195,P1037,Testing,2026-05-16,2026-05-18,Completed,2.0,On Time
M5196,P1037,Structural Work,2026-08-13,2026-08-23,Completed,10.0,Minor Delay
M5197,P1038,Final Handover,2025-01-22,,Pending,,On Time
M5198,P1038,Safety Inspection,2025-04-17,2025-05-07,Delayed,20.0,Minor Delay
M5199,P1038,Structural Work,2025-07-10,,Not Started,,On Time
M5200,P1038,Design Approval,2025-10-03,2025-10-23,Delayed,20.0,Minor Delay
M5201,P1038,Land Acquisition,2025-12-26,2026-01-13,Delayed,18.0,Minor Delay
M5202,P1038,Testing,2026-03-21,,Not Started,,On Time
M5203,P1038,Foundation,2026-06-13,,Pending,,On Time
M5204,P1038,Final Handover,2025-09-05,2025-09-05,Completed,0.0,On Time
M5205,P1039,Land Acquisition,2025-11-05,2025-12-10,Completed,35.0,Major Delay
M5206,P1039,Structural Work,2026-01-04,2026-02-08,Completed,35.0,Major Delay
M5207,P1039,Testing,2026-03-06,2026-04-10,Completed,35.0,Major Delay
M5208,P1039,Safety Inspection,2026-05-05,2026-06-09,Delayed,35.0,Major Delay
M5209,P1039,Major Construction,2026-07-05,2026-09-03,Completed,60.0,Extreme Delay
M5210,P1039,,2026-09-03,2026-09-05,Delayed,2.0,On Time
M5211,P1040,Foundation,,2026-01-12,Delayed,,On Time
M5212,P1040,Land Acquisition,2026-03-01,2026-03-03,Completed,2.0,On Time
M5213,P1040,Structural Work,2026-04-19,2026-06-18,Delayed,60.0,Extreme Delay
M5214,P1040,Final Handover,2026-06-08,2026-06-18,Delayed,10.0,Minor Delay
M5215,P1040,Design Approval,2026-07-27,2026-08-06,Completed,10.0,Minor Delay
M5216,P1040,Testing,2026-09-15,,Completed,,On Time
M5217,P1040,Major Construction,2026-11-03,2026-11-18,Delayed,15.0,Minor Delay
M5218,P1041,Major Construction,2024-10-22,,In Progress,,On Time
M5219,P1041,Final Handover,2024-12-10,,In Progress,,On Time
M5220,P1041,Safety Inspection,,,Pending,,On Time
M5221,P1041,Design Approval,2025-03-18,,In Progress,,On Time
M5222,P1042,Testing,2023-10-06,2023-10-11,Completed,5.0,On Time
M5223,P1042,Final Handover,2023-12-31,2024-01-05,Completed,5.0,On Time
M5224,P1042,Structural Work,2024-03-26,2024-03-28,Delayed,2.0,On Time
M5225,P1042,Land Acquisition,2024-06-20,2024-07-25,Delayed,35.0,Major Delay
M5226,P1042,Major Construction,2024-09-13,2024-10-03,Completed,20.0,Minor Delay
M5227,P1042,Foundation,2024-12-08,2025-02-06,Delayed,60.0,Extreme Delay
M5228,P1042,Safety Inspection,2025-03-04,2025-05-03,Completed,60.0,Extreme Delay
M5229,P1043,Design Approval,2025-07-10,2025-07-30,Completed,20.0,Minor Delay
M5230,P1043,Safety Inspection,2025-11-18,2025-11-18,Completed,0.0,On Time
M5231,P1043,Structural Work,2026-03-29,2026-04-08,Delayed,10.0,Minor Delay
M5232,P1043,Land Acquisition,2026-08-07,2026-10-06,Completed,60.0,Extreme Delay
M5233,P1043,Major Construction,2026-12-16,2026-12-18,Completed,2.0,On Time
M5234,P1043,Final Handover,2027-04-26,2027-05-31,Completed,35.0,Major Delay
M5235,P1044,Safety Inspection,2023-10-15,2023-10-25,Completed,10.0,Minor Delay
M5236,P1044,Major Construction,2024-01-07,2024-01-27,Completed,20.0,Minor Delay
M5237,P1044,Testing,2024-03-31,2024-04-20,Completed,20.0,Minor Delay
M5238,P1044,Design Approval,2024-06-23,2024-07-13,Completed,20.0,Minor Delay
M5239,P1044,Foundation,2024-09-15,2024-10-05,Completed,20.0,Minor Delay
M5240,P1044,Final Handover,2024-12-08,2025-01-12,Completed,35.0,Major Delay
M5241,P1044,Structural Work,2025-03-02,2025-04-06,Completed,35.0,Major Delay
M5242,P1045,Design Approval,2022-05-14,2022-06-18,Delayed,35.0,Major Delay
M5243,P1045,Safety Inspection,2022-07-23,2022-09-21,Completed,60.0,Extreme Delay
M5244,P1045,,2022-10-02,2022-10-12,Completed,10.0,Minor Delay
M5245,P1045,Major Construction,2022-12-11,2022-12-11,Delayed,0.0,On Time
M5246,P1045,Structural Work,2023-02-20,2023-03-27,Completed,35.0,Major Delay
M5247,P1045,,2023-05-01,2023-06-30,Completed,60.0,Extreme Delay
M5248,P1046,Major Construction,2024-03-24,2024-05-23,Delayed,60.0,Extreme Delay
M5249,P1046,Design Approval,2024-05-22,2024-07-21,Completed,60.0,Extreme Delay
M5250,P1046,Land Acquisition,2024-07-20,,Not Started,,On Time
M5251,P1046,Foundation,2024-09-16,2024-10-06,Completed,20.0,Minor Delay
M5252,P1046,Safety Inspection,,,Pending,,On Time
M5253,P1046,Final Handover,2025-01-12,,In Progress,,On Time
M5254,P1047,Testing,2023-03-22,,Not Started,,On Time
M5255,P1047,Major Construction,2023-05-01,,Not Started,,On Time
M5256,P1047,Land Acquisition,2023-06-09,2023-06-29,Completed,20.0,Minor Delay
M5257,P1047,Final Handover,2023-07-19,,Pending,,On Time
M5258,P1047,Foundation,2023-08-28,2023-08-30,Completed,2.0,On Time
M5259,P1047,Safety Inspection,2023-10-06,2023-10-08,Completed,2.0,On Time
M5260,P1047,Design Approval,2023-11-15,2023-11-25,Completed,10.0,Minor Delay
M5261,P1048,Foundation,2024-10-05,2024-10-07,Completed,2.0,On Time
M5262,P1048,Design Approval,2025-02-13,2025-02-18,Completed,5.0,On Time
M5263,P1048,Major Construction,2025-06-24,,Not Started,,On Time
M5264,P1048,Final Handover,2025-11-02,,Not Started,,On Time
M5265,P1048,Land Acquisition,2026-03-13,2026-05-12,Completed,60.0,Extreme Delay
M5266,P1048,Safety Inspection,2026-07-22,2026-08-26,Completed,35.0,Major Delay
M5267,P1049,Foundation,2024-08-19,2024-09-08,Delayed,20.0,Minor Delay
M5268,P1049,Major Construction,2024-10-28,2024-10-30,Completed,2.0,On Time
M5269,P1049,Land Acquisition,2025-01-06,2025-03-04,Delayed,57.0,Extreme Delay
M5270,P1049,Safety Inspection,2025-03-17,2025-03-19,Delayed,2.0,On Time
M5271,P1049,Design Approval,2025-05-26,,Not Started,,On Time
M5272,P1050,Design Approval,2022-10-10,2022-11-14,Completed,35.0,Major Delay
M5273,P1050,Testing,2023-01-23,,Not Started,,On Time
M5274,P1050,Foundation,2023-05-08,,In Progress,,On Time
M5275,P1050,Structural Work,2023-08-21,,Pending,,On Time
M5276,P1051,Major Construction,2024-02-29,2024-03-20,Delayed,20.0,Minor Delay
M5277,P1051,Final Handover,2024-05-02,2024-05-07,Completed,5.0,On Time
M5278,P1051,Testing,2024-07-04,2024-07-04,Completed,0.0,On Time
M5279,P1051,Foundation,2024-09-05,2024-11-04,Completed,60.0,Extreme Delay
M5280,P1051,Land Acquisition,2024-11-07,2024-11-09,Completed,2.0,On Time
M5281,P1051,Safety Inspection,2025-01-09,2025-01-19,Completed,10.0,Minor Delay
M5282,P1051,Design Approval,2025-03-13,2025-05-12,Delayed,60.0,Extreme Delay
M5283,P1052,Foundation,2026-01-10,2026-01-10,Completed,0.0,On Time
M5284,P1052,Land Acquisition,2026-06-07,2026-06-12,Completed,5.0,On Time
M5285,P1052,Structural Work,2026-11-03,,Pending,,On Time
M5286,P1052,Final Handover,2027-03-31,,In Progress,,On Time
M5287,P1053,Final Handover,2025-04-14,,Not Started,,On Time
M5288,P1053,Testing,2025-06-25,2025-07-30,Completed,35.0,Major Delay
M5289,P1053,Structural Work,2025-09-05,,Not Started,,On Time
M5290,P1053,Safety Inspection,2025-11-17,2026-01-16,Completed,60.0,Extreme Delay
M5291,P1053,Foundation,2026-01-28,2026-02-17,Completed,20.0,Minor Delay
M5292,P1053,,2026-04-10,2026-05-15,Completed,35.0,Major Delay
M5293,P1053,Design Approval,2026-06-21,,In Progress,,On Time
M5294,P1054,Safety Inspection,2024-11-22,2024-12-02,Completed,10.0,Minor Delay
M5295,P1054,Structural Work,2025-01-26,,Pending,,On Time
M5296,P1054,Testing,2025-04-02,2025-06-01,Completed,60.0,Extreme Delay
M5297,P1054,Land Acquisition,2025-06-06,,Pending,,On Time
M5298,P1054,Final Handover,2025-08-10,2025-09-12,Delayed,33.0,Major Delay
M5299,P1054,Major Construction,2025-10-15,2025-10-15,Delayed,0.0,On Time
M5300,P1054,Foundation,2025-12-19,2025-12-19,Completed,0.0,On Time
M5301,P1055,Testing,2025-02-28,2025-03-02,Completed,2.0,On Time
M5302,P1055,Design Approval,2025-05-01,2025-05-03,Completed,2.0,On Time
M5303,P1055,Structural Work,2025-07-01,2025-07-21,Delayed,20.0,Minor Delay
M5304,P1055,Major Construction,2025-09-01,2025-09-01,Completed,0.0,On Time
M5305,P1055,Safety Inspection,2025-11-01,2025-11-06,Completed,5.0,On Time
M5306,P1056,Final Handover,2024-12-18,2025-01-07,Completed,20.0,Minor Delay
M5307,P1056,Foundation,2025-04-19,,In Progress,,On Time
M5308,P1056,Safety Inspection,2025-08-19,2025-08-24,Completed,5.0,On Time
M5309,P1056,Design Approval,2025-12-18,,Pending,,On Time
M5310,P1056,Major Construction,2026-04-19,,In Progress,,On Time
M5311,P1057,Safety Inspection,2025-12-18,2026-01-22,Delayed,35.0,Major Delay
M5312,P1057,Design Approval,2026-01-29,2026-02-03,Completed,5.0,On Time
M5313,P1057,Land Acquisition,2026-03-12,2026-03-17,Delayed,5.0,On Time
M5314,P1057,Foundation,2026-04-23,2026-04-28,Completed,5.0,On Time
M5315,P1057,Final Handover,2026-06-04,2026-06-04,Completed,0.0,On Time
M5316,P1057,Testing,2026-07-16,2026-07-16,Completed,0.0,On Time
M5317,P1058,Structural Work,2024-11-03,2025-01-02,Completed,60.0,Extreme Delay
M5318,P1058,Foundation,2025-02-27,2025-03-19,Delayed,20.0,Minor Delay
M5319,P1058,Testing,2025-06-22,2025-06-24,Completed,2.0,On Time
M5320,P1058,Land Acquisition,2025-10-16,2025-11-05,Delayed,20.0,Minor Delay
M5321,P1058,Major Construction,2026-02-08,2026-02-10,Completed,2.0,On Time
M5322,P1059,Structural Work,2023-10-18,2023-11-07,Completed,20.0,Minor Delay
M5323,P1059,Safety Inspection,2024-02-10,2024-04-10,Completed,60.0,Extreme Delay
M5324,P1059,Major Construction,2024-06-03,2024-06-05,Delayed,2.0,On Time
M5325,P1059,Foundation,2024-09-26,2024-10-16,Completed,20.0,Minor Delay
M5326,P1059,Design Approval,2025-01-18,2025-01-28,Completed,10.0,Minor Delay
M5327,P1059,Final Handover,2025-05-13,2025-07-12,Delayed,60.0,Extreme Delay
M5328,P1059,Land Acquisition,2025-09-04,2025-09-09,Completed,5.0,On Time
M5329,P1060,Land Acquisition,2023-11-10,2023-11-20,Completed,10.0,Minor Delay
M5330,P1060,Testing,2024-02-06,2024-03-12,Completed,35.0,Major Delay
M5331,P1060,Design Approval,2024-05-04,2024-05-24,Completed,20.0,Minor Delay
M5332,P1060,Major Construction,2024-07-31,,In Progress,,On Time
M5333,P1060,Foundation,2024-10-27,2024-12-03,Delayed,37.0,Major Delay
M5334,P1061,Safety Inspection,2025-03-19,2025-03-24,Completed,5.0,On Time
M5335,P1061,Foundation,2025-05-17,2025-05-27,Completed,10.0,Minor Delay
M5336,P1061,Major Construction,2025-07-15,2025-07-17,Delayed,2.0,On Time
M5337,P1061,Land Acquisition,2025-09-12,2025-09-12,Completed,0.0,On Time
M5338,P1061,Final Handover,2025-11-09,2025-11-11,Completed,2.0,On Time
M5339,P1061,Design Approval,2026-01-07,2026-02-11,Completed,35.0,Major Delay
M5340,P1061,Testing,2026-03-07,,In Progress,,On Time
M5341,P1062,Design Approval,2024-12-30,2025-02-03,Delayed,35.0,Major Delay
M5342,P1062,Structural Work,2025-05-14,2025-05-14,Completed,0.0,On Time
M5343,P1062,Testing,2025-09-26,2025-09-28,,2.0,On Time
M5344,P1062,Safety Inspection,2026-02-08,2026-02-08,Completed,0.0,On Time
M5345,P1062,Major Construction,2026-06-23,2026-06-28,Completed,5.0,On Time
M5346,P1062,Land Acquisition,2026-11-05,2026-11-15,Completed,10.0,Minor Delay
M5347,P1063,Design Approval,2025-07-30,2025-09-28,Delayed,60.0,Extreme Delay
M5348,P1063,Final Handover,2025-10-09,2025-12-08,Completed,60.0,Extreme Delay
M5349,P1063,Structural Work,2025-12-19,2026-01-08,Completed,20.0,Minor Delay
M5350,P1063,Major Construction,2026-02-28,2026-04-04,Completed,35.0,Major Delay
M5351,P1063,Testing,2026-05-10,2026-05-30,Completed,20.0,Minor Delay
M5352,P1063,Safety Inspection,2026-07-20,2026-07-30,Completed,10.0,Minor Delay
M5353,P1064,Land Acquisition,2023-05-18,,Pending,,On Time
M5354,P1064,Design Approval,2023-10-09,,Pending,,On Time
