Payment_ID,Project_ID,Payment_Date,Amount_Cr,Payment_Status,Payment_Year,Payment_Month
PAY20091,P1014,2024-02-05,5.11,On Hold,2024.0,2.0
PAY20092,P1014,2023-11-24,0.54,Paid,2023.0,11.0
PAY20093,P1015,2023-03-28,11.76,Approved,2023.0,3.0
PAY20094,P1015,2024-05-22,5.45,On Hold,2024.0,5.0
PAY20095,P1015,2023-03-14,9.91,On Hold,2023.0,3.0
PAY20096,P1015,2023-05-28,5.59,Pending,2023.0,5.0
PAY20097,P1015,2023-05-01,12.61,Partially Paid,2023.0,5.0
PAY20098,P1015,2024-04-25,10.84,Approved,2024.0,4.0
PAY20099,P1015,2024-03-26,2.63,Approved,2024.0,3.0
PAY20100,P1015,2023-07-29,6.35,On Hold,2023.0,7.0
PAY20101,P1015,2024-02-20,3.92,Paid,2024.0,2.0
PAY20102,P1016,2023-01-26,11.39,On Hold,2023.0,1.0
PAY20103,P1016,2023-04-20,7.65,Partially Paid,2023.0,4.0
PAY20104,P1016,,2.56,Approved,,
PAY20105,P1017,2026-08-19,9.57,Pending,2026.0,8.0
PAY20106,P1017,2026-01-30,4.27,Paid,2026.0,1.0
PAY20107,P1017,2027-01-17,9.92,Pending,2027.0,1.0
PAY20108,P1018,2025-08-05,1.38,On Hold,2025.0,8.0
PAY20109,P1018,2026-07-10,0.55,On Hold,2026.0,7.0
PAY20110,P1018,2027-01-20,13.8,Paid,2027.0,1.0
PAY20111,P1018,2027-01-03,11.94,Pending,2027.0,1.0
PAY20112,P1018,2027-01-21,12.92,Approved,2027.0,1.0
PAY20113,P1018,2026-07-20,7.81,Paid,2026.0,7.0
PAY20114,P1018,2026-03-16,4.29,Pending,2026.0,3.0
PAY20115,P1019,2025-08-24,14.55,On Hold,2025.0,8.0
PAY20116,P1019,2025-12-08,5.8,Partially Paid,2025.0,12.0
PAY20117,P1019,2025-05-28,3.53,Partially Paid,2025.0,5.0
PAY20118,P1019,2026-01-23,4.36,Approved,2026.0,1.0
PAY20119,P1020,2024-11-01,0.5,Partially Paid,2024.0,11.0
PAY20120,P1020,2024-11-07,14.28,On Hold,2024.0,11.0
PAY20121,P1020,2024-06-14,6.92,On Hold,2024.0,6.0
PAY20122,P1020,2024-05-02,6.11,,2024.0,5.0
PAY20123,P1020,2024-12-04,5.7,On Hold,2024.0,12.0
PAY20124,P1020,2024-06-14,9.73,Approved,2024.0,6.0
PAY20125,P1021,2025-01-16,14.64,Paid,2025.0,1.0
PAY20126,P1021,2024-11-06,2.75,Partially Paid,2024.0,11.0
PAY20127,P1021,2024-12-09,3.94,Pending,2024.0,12.0
PAY20128,P1021,2024-05-28,9.34,Partially Paid,2024.0,5.0
PAY20129,P1021,2024-09-28,10.91,On Hold,2024.0,9.0
PAY20130,P1022,2025-02-02,11.57,Approved,2025.0,2.0
PAY20131,P1022,2025-05-03,4.84,Approved,2025.0,5.0
PAY20132,P1022,2025-08-19,2.47,Approved,2025.0,8.0
PAY20133,P1022,2025-07-13,8.59,Partially Paid,2025.0,7.0
PAY20134,P1022,2025-01-19,4.21,Pending,2025.0,1.0
PAY20135,P1022,2025-07-30,8.55,Partially Paid,2025.0,7.0
PAY20136,P1023,2025-11-29,14.4,Pending,2025.0,11.0
PAY20137,P1023,2025-12-03,7.06,Partially Paid,2025.0,12.0
PAY20138,P1023,2026-03-12,8.43,Paid,2026.0,3.0
PAY20139,P1023,2025-08-14,6.53,Paid,2025.0,8.0
PAY20140,P1023,,2.13,Paid,,
PAY20141,P1023,2025-09-12,7.92,Paid,2025.0,9.0
PAY20142,P1023,2025-09-15,3.16,,2025.0,9.0
PAY20143,P1023,2025-07-11,13.31,Partially Paid,2025.0,7.0
PAY20144,P1023,2025-09-17,9.49,On Hold,2025.0,9.0
PAY20145,P1023,2026-02-26,2.31,On Hold,2026.0,2.0
PAY20146,P1024,2023-03-22,0.39,Paid,2023.0,3.0
PAY20147,P1024,2023-04-28,14.94,Approved,2023.0,4.0
PAY20148,P1024,2023-07-27,5.01,Approved,2023.0,7.0
PAY20149,P1024,2022-07-26,2.34,On Hold,2022.0,7.0
PAY20150,P1024,2022-09-04,12.09,Approved,2022.0,9.0
PAY20151,P1024,2023-07-23,9.17,Partially Paid,2023.0,7.0
PAY20152,P1024,2023-05-26,3.36,Approved,2023.0,5.0
PAY20153,P1024,2022-06-25,2.67,Partially Paid,2022.0,6.0
PAY20154,P1024,2022-02-17,4.94,Pending,2022.0,2.0
PAY20155,P1025,2025-06-21,1.24,Paid,2025.0,6.0
PAY20156,P1025,2025-01-10,10.6,Pending,2025.0,1.0
PAY20157,P1025,2026-02-05,1.63,Partially Paid,2026.0,2.0
PAY20158,P1025,2025-01-29,1.65,On Hold,2025.0,1.0
PAY20159,P1025,2025-06-19,9.02,Paid,2025.0,6.0
PAY20160,P1026,2026-08-09,13.28,Approved,2026.0,8.0
PAY20161,P1026,2025-11-03,13.94,Approved,2025.0,11.0
PAY20162,P1026,2026-03-21,12.36,Partially Paid,2026.0,3.0
PAY20163,P1026,2026-08-22,11.01,Approved,2026.0,8.0
PAY20164,P1026,2026-05-21,14.03,On Hold,2026.0,5.0
PAY20165,P1026,2026-07-31,9.71,Pending,2026.0,7.0
PAY20166,P1026,2025-12-05,8.99,Paid,2025.0,12.0
PAY20167,P1026,2026-02-14,4.38,Approved,2026.0,2.0
PAY20168,P1027,2023-06-11,12.0,On Hold,2023.0,6.0
PAY20169,P1027,2024-02-29,5.12,On Hold,2024.0,2.0
PAY20170,P1027,,14.51,On Hold,,
PAY20171,P1027,2024-05-31,3.34,Paid,2024.0,5.0
PAY20172,P1028,2024-08-25,1.6,On Hold,2024.0,8.0
PAY20173,P1028,2024-06-15,2.36,Partially Paid,2024.0,6.0
PAY20174,P1028,2024-01-17,5.02,Paid,2024.0,1.0
PAY20175,P1028,2024-06-05,7.8,Partially Paid,2024.0,6.0
PAY20176,P1028,2025-03-27,10.06,Approved,2025.0,3.0
PAY20177,P1028,2024-11-21,7.63,Paid,2024.0,11.0
PAY20178,P1029,2026-07-05,6.05,Partially Paid,2026.0,7.0
PAY20179,P1029,2026-04-08,5.49,On Hold,2026.0,4.0
PAY20180,P1029,2025-10-29,8.08,On Hold,2025.0,10.0
PAY20181,P1029,2025-07-16,14.34,Approved,2025.0,7.0
PAY20182,P1029,2025-05-04,12.64,On Hold,2025.0,5.0
PAY20183,P1029,2026-03-06,7.48,Approved,2026.0,3.0
PAY20184,P1030,2026-12-28,13.52,Approved,2026.0,12.0
PAY20185,P1030,2025-12-04,0.62,Approved,2025.0,12.0
PAY20186,P1030,2026-09-25,11.62,Approved,2026.0,9.0
PAY20187,P1030,2026-08-13,3.4,On Hold,2026.0,8.0
PAY20188,P1031,2023-03-01,5.77,Paid,2023.0,3.0
PAY20189,P1031,2022-08-22,6.77,On Hold,2022.0,8.0
PAY20190,P1031,2022-08-21,0.33,Approved,2022.0,8.0
PAY20191,P1031,2023-01-05,1.64,Approved,2023.0,1.0
PAY20192,P1031,2022-10-20,7.67,Paid,2022.0,10.0
PAY20193,P1031,2023-10-17,4.28,Approved,2023.0,10.0
PAY20194,P1032,2026-01-15,0.9,Approved,2026.0,1.0
PAY20195,P1032,2025-09-10,9.47,On Hold,2025.0,9.0
PAY20196,P1032,2025-01-04,12.98,Partially Paid,2025.0,1.0
PAY20197,P1032,2026-03-14,7.48,Partially Paid,2026.0,3.0
PAY20198,P1032,2025-03-20,0.81,Paid,2025.0,3.0
PAY20199,P1032,2025-05-09,10.66,Pending,2025.0,5.0
PAY20200,P1032,2025-04-17,1.47,Paid,2025.0,4.0
PAY20201,P1032,2025-01-30,6.79,Paid,2025.0,1.0
PAY20202,P1032,2025-10-21,1.69,On Hold,2025.0,10.0
PAY20203,P1032,2025-09-14,14.76,Pending,2025.0,9.0
PAY20204,P1033,2024-09-13,12.6,Approved,2024.0,9.0
PAY20205,P1033,2024-03-30,13.61,On Hold,2024.0,3.0
PAY20206,P1033,,7.87,Partially Paid,,
PAY20207,P1034,2026-10-26,10.13,Paid,2026.0,10.0
PAY20208,P1034,2025-06-27,12.42,On Hold,2025.0,6.0
PAY20209,P1034,2025-05-12,11.0,Paid,2025.0,5.0
PAY20210,P1034,2025-06-06,6.79,Approved,2025.0,6.0
PAY20211,P1034,2026-08-27,3.18,On Hold,2026.0,8.0
PAY20212,P1034,2026-02-04,2.8,Paid,2026.0,2.0
PAY20213,P1034,2025-10-26,4.29,Approved,2025.0,10.0
PAY20214,P1034,2025-04-11,5.29,On Hold,2025.0,4.0
PAY20215,P1034,2025-03-10,8.6,Partially Paid,2025.0,3.0
PAY20216,P1035,2023-07-04,13.79,Pending,2023.0,7.0
PAY20217,P1035,2024-05-13,1.52,Approved,2024.0,5.0
PAY20218,P1035,2024-03-03,9.49,Paid,2024.0,3.0
PAY20219,P1035,2024-06-01,2.75,Paid,2024.0,6.0
PAY20220,P1036,2026-01-09,5.77,Paid,2026.0,1.0
PAY20221,P1036,2024-12-04,4.79,Pending,2024.0,12.0
PAY20222,P1036,2024-08-09,4.83,Partially Paid,2024.0,8.0
PAY20223,P1036,2025-01-14,2.88,Pending,2025.0,1.0
PAY20224,P1036,2025-10-26,4.9,Pending,2025.0,10.0
PAY20225,P1036,2024-10-05,4.27,Pending,2024.0,10.0
PAY20226,P1037,2025-10-24,4.08,Partially Paid,2025.0,10.0
PAY20227,P1037,2025-09-22,1.61,Approved,2025.0,9.0
PAY20228,P1037,2026-08-10,5.61,On Hold,2026.0,8.0
PAY20229,P1037,2026-03-31,12.49,Pending,2026.0,3.0
PAY20230,P1037,2025-02-01,14.26,On Hold,2025.0,2.0
PAY20231,P1038,2025-05-07,8.18,Pending,2025.0,5.0
PAY20232,P1038,2026-02-16,5.37,Approved,2026.0,2.0
PAY20233,P1038,2025-06-29,5.3,On Hold,2025.0,6.0
PAY20234,P1038,,12.49,Approved,,
PAY20235,P1038,2025-03-01,7.82,Pending,2025.0,3.0
PAY20236,P1038,2025-08-20,3.47,Approved,2025.0,8.0
PAY20237,P1038,2024-12-31,13.85,On Hold,2024.0,12.0
PAY20238,P1038,2026-09-06,3.0,Pending,2026.0,9.0
PAY20239,P1038,2026-03-22,8.91,Approved,2026.0,3.0
PAY20240,P1039,2026-07-09,8.93,Paid,2026.0,7.0
PAY20241,P1039,2026-01-18,10.59,Approved,2026.0,1.0
PAY20242,P1039,2026-10-25,13.54,Pending,2026.0,10.0
PAY20243,P1039,2026-03-09,7.26,Approved,2026.0,3.0
PAY20244,P1039,2026-07-03,13.57,Pending,2026.0,7.0
PAY20245,P1039,2026-02-05,4.77,Partially Paid,2026.0,2.0
PAY20246,P1039,2026-05-12,3.0,Paid,2026.0,5.0
PAY20247,,2026-03-18,12.19,Partially Paid,2026.0,3.0
PAY20248,P1039,2026-06-05,8.75,Partially Paid,2026.0,6.0
PAY20249,P1040,2026-08-21,12.55,Approved,2026.0,8.0
PAY20250,P1040,2026-07-01,9.11,Partially Paid,2026.0,7.0
PAY20251,P1040,2026-12-04,6.17,Paid,2026.0,12.0
PAY20252,P1040,2026-04-20,11.51,On Hold,2026.0,4.0
PAY20253,P1040,2026-02-15,6.46,Approved,2026.0,2.0
PAY20254,P1040,2026-10-13,6.16,Paid,2026.0,10.0
PAY20255,P1040,2026-03-15,7.81,Approved,2026.0,3.0
PAY20256,P1040,2026-10-23,14.49,On Hold,2026.0,10.0
PAY20257,P1040,2026-04-02,14.28,On Hold,2026.0,4.0
PAY20258,P1041,2024-11-05,10.04,Paid,2024.0,11.0
PAY20259,P1041,2024-10-26,4.81,Pending,2024.0,10.0
PAY20260,P1041,2025-04-26,5.36,Partially Paid,2025.0,4.0
PAY20261,P1041,2024-11-14,7.04,Pending,2024.0,11.0
PAY20262,P1041,2024-11-23,13.27,Approved,2024.0,11.0
PAY20263,P1042,2023-11-02,2.97,Pending,2023.0,11.0
PAY20264,P1042,2024-11-01,1.58,Pending,2024.0,11.0
PAY20265,P1042,2024-01-16,10.35,Approved,2024.0,1.0
PAY20266,P1042,2023-08-17,7.29,Approved,2023.0,8.0
PAY20267,P1042,2023-11-22,7.19,Partially Paid,2023.0,11.0
PAY20268,P1042,2024-03-16,13.71,Partially Paid,2024.0,3.0
PAY20269,P1042,2024-11-28,10.67,Paid,2024.0,11.0
PAY20270,P1043,2025-08-09,4.95,Pending,2025.0,8.0
PAY20271,P1043,2026-05-14,11.66,Approved,2026.0,5.0
PAY20272,P1043,2027-07-18,10.2,Partially Paid,2027.0,7.0
PAY20273,P1043,2026-12-02,6.06,Paid,2026.0,12.0
PAY20274,P1043,2026-03-21,7.45,On Hold,2026.0,3.0
PAY20275,P1043,2025-04-27,3.52,On Hold,2025.0,4.0
PAY20276,P1043,2025-09-29,11.58,Approved,2025.0,9.0
PAY20277,P1043,2026-04-05,5.26,Paid,2026.0,4.0
PAY20278,P1043,2026-12-16,9.09,Partially Paid,2026.0,12.0
PAY20279,P1044,2024-04-14,2.29,Pending,2024.0,4.0
PAY20280,P1044,2023-10-07,3.37,Partially Paid,2023.0,10.0
PAY20281,P1044,2023-11-26,5.26,Pending,2023.0,11.0
PAY20282,P1044,2024-10-31,2.47,Approved,2024.0,10.0
PAY20283,P1045,,12.36,Paid,,
PAY20284,P1045,2022-08-15,14.39,Partially Paid,2022.0,8.0
PAY20285,P1045,2022-07-04,2.66,On Hold,2022.0,7.0
PAY20286,P1045,2023-06-05,1.82,Paid,2023.0,6.0
PAY20287,P1045,,10.37,Paid,,
PAY20288,P1045,2023-03-05,12.97,Paid,2023.0,3.0
PAY20289,P1045,2022-06-25,4.96,On Hold,2022.0,6.0
PAY20290,,2022-12-19,5.91,Partially Paid,2022.0,12.0
PAY20291,P1045,2022-04-09,7.42,Partially Paid,2022.0,4.0
PAY20292,P1046,2024-03-23,4.72,,2024.0,3.0
PAY20293,P1046,2025-03-10,9.6,On Hold,2025.0,3.0
PAY20294,P1046,2024-10-12,7.66,Partially Paid,2024.0,10.0
PAY20295,P1046,2025-02-23,5.19,On Hold,2025.0,2.0
PAY20296,P1046,2024-08-29,1.9,Pending,2024.0,8.0
PAY20297,P1046,2024-09-29,8.09,Partially Paid,2024.0,9.0
PAY20298,P1046,2025-02-04,1.43,Paid,2025.0,2.0
PAY20299,P1046,2024-08-15,14.24,On Hold,2024.0,8.0
PAY20300,P1046,2024-07-06,3.16,On Hold,2024.0,7.0
PAY20301,p1047,2023-10-21,0.97,Approved,2023.0,10.0
PAY20302,P1047,2023-04-02,2.04,Partially Paid,2023.0,4.0
PAY20303,P1047,2023-11-03,5.66,On Hold,2023.0,11.0
PAY20304,P1047,2023-09-18,3.97,Approved,2023.0,9.0
PAY20305,P1047,2023-08-11,11.56,Paid,2023.0,8.0
PAY20306,P1047,2023-12-15,4.19,Approved,2023.0,12.0
PAY20307,P1047,2023-09-11,6.4,Partially Paid,2023.0,9.0
PAY20308,P1047,2023-08-26,4.64,Paid,2023.0,8.0
PAY20309,P1047,2023-05-09,5.52,Paid,2023.0,5.0
PAY20310,P1047,2023-12-10,11.15,Pending,2023.0,12.0
PAY20311,P1048,2024-09-20,8.14,Pending,2024.0,9.0
PAY20312,P1048,2026-07-10,2.38,Partially Paid,2026.0,7.0
PAY20313,P1048,2025-09-10,13.42,,2025.0,9.0
PAY20314,P1048,2025-10-08,10.41,Pending,2025.0,10.0
PAY20315,P1048,2026-10-19,13.58,On Hold,2026.0,10.0
PAY20316,P1049,2024-07-30,1.38,Approved,2024.0,7.0
PAY20317,P1049,2024-07-29,2.41,Paid,2024.0,7.0
PAY20318,P1049,2025-01-21,7.81,Paid,2025.0,1.0
PAY20319,P1049,2024-12-29,13.93,Approved,2024.0,12.0
PAY20320,P1049,2025-02-11,6.16,Pending,2025.0,2.0
PAY20321,P1049,2025-07-27,4.04,Paid,2025.0,7.0
PAY20322,P1049,2025-02-16,14.49,Pending,2025.0,2.0
PAY20323,P1049,2025-04-28,4.1,Approved,2025.0,4.0
PAY20324,P1049,2025-05-21,7.83,Pending,2025.0,5.0
PAY20325,P1049,2025-06-30,12.03,Approved,2025.0,6.0
PAY20326,P1050,2022-11-14,11.47,Partially Paid,2022.0,11.0
PAY20327,P1050,2022-12-14,11.27,Pending,2022.0,12.0
PAY20328,P1050,2022-12-15,7.65,Paid,2022.0,12.0
PAY20329,P1050,2023-06-01,6.13,Pending,2023.0,6.0
PAY20330,P1050,2023-07-09,4.45,Paid,2023.0,7.0
PAY20331,P1050,2023-02-20,3.31,Partially Paid,2023.0,2.0
PAY20332,P1050,2023-06-28,2.16,Approved,2023.0,6.0
PAY20333,P1050,2023-03-20,9.09,Approved,2023.0,3.0
PAY20334,P1050,2022-09-14,3.51,Paid,2022.0,9.0
PAY20335,P1050,2023-07-25,5.04,Paid,2023.0,7.0
PAY20336,P1051,2025-02-02,10.75,Partially Paid,2025.0,2.0
PAY20337,P1051,2024-11-23,6.46,On Hold,2024.0,11.0
PAY20338,P1051,2024-07-13,8.24,Partially Paid,2024.0,7.0
PAY20339,P1051,2024-11-07,0.44,Approved,2024.0,11.0
PAY20340,P1051,2024-07-08,5.36,Partially Paid,2024.0,7.0
PAY20341,P1051,2024-04-13,7.06,Partially Paid,2024.0,4.0
PAY20342,P1051,2024-05-13,8.1,Pending,2024.0,5.0
PAY20343,P1052,2026-06-02,6.19,On Hold,2026.0,6.0
PAY20344,P1052,2025-12-03,9.56,On Hold,2025.0,12.0
PAY20345,P1052,2026-09-02,1.48,On Hold,2026.0,9.0
PAY20346,P1052,2026-09-27,4.73,Approved,2026.0,9.0
PAY20347,P1052,2026-12-20,10.2,Paid,2026.0,12.0
PAY20348,P1052,2026-02-20,9.47,Pending,2026.0,2.0
PAY20349,P1052,2027-06-15,5.44,Partially Paid,2027.0,6.0
PAY20350,P1052,2026-11-13,14.94,Paid,2026.0,11.0
PAY20351,,,8.46,Partially Paid,,
PAY20352,P1053,2026-03-22,13.84,Pending,2026.0,3.0
PAY20353,P1053,2026-03-25,9.21,Paid,2026.0,3.0
PAY20354,P1053,2025-06-10,6.09,Pending,2025.0,6.0
PAY20355,P1053,2025-06-24,8.67,Pending,2025.0,6.0
PAY20356,P1053,2025-08-12,11.56,Partially Paid,2025.0,8.0
PAY20357,P1053,2026-04-25,5.44,Pending,2026.0,4.0
PAY20358,P1054,2026-01-22,9.09,Approved,2026.0,1.0
PAY20359,P1054,2025-11-16,5.61,Paid,2025.0,11.0
PAY20360,P1054,2025-09-23,13.3,Approved,2025.0,9.0
PAY20361,P1054,2025-07-02,8.15,Partially Paid,2025.0,7.0
PAY20362,P1054,2025-02-10,12.92,Partially Paid,2025.0,2.0
PAY20363,P1054,2025-11-09,7.09,Partially Paid,2025.0,11.0
PAY20364,P1054,2025-01-06,13.88,Pending,2025.0,1.0
PAY20365,P1054,2025-05-10,4.5,On Hold,2025.0,5.0
PAY20366,P1054,2025-12-16,5.18,Partially Paid,2025.0,12.0
PAY20367,P1055,2025-03-19,5.9,Partially Paid,2025.0,3.0
PAY20368,P1055,2025-08-30,6.3,Paid,2025.0,8.0
PAY20369,P1055,2025-12-10,3.56,On Hold,2025.0,12.0
PAY20370,P1055,2025-12-11,7.67,Paid,2025.0,12.0
PAY20371,P1055,2025-11-30,8.67,Partially Paid,2025.0,11.0
PAY20372,P1056,2025-08-16,9.24,Pending,2025.0,8.0
PAY20373,P1056,2026-04-23,9.48,Paid,2026.0,4.0
PAY20374,P1056,2025-10-02,0.59,On Hold,2025.0,10.0
PAY20375,P1057,2026-08-24,12.99,Pending,2026.0,8.0
PAY20376,P1057,2026-07-28,5.69,Pending,2026.0,7.0
PAY20377,P1057,2026-03-05,7.21,Pending,2026.0,3.0
PAY20378,P1057,2026-05-20,2.21,Paid,2026.0,5.0
PAY20379,P1057,2025-12-21,3.3,Partially Paid,2025.0,12.0
PAY20380,P1057,2026-07-29,3.86,,2026.0,7.0
PAY20381,P1057,2026-07-21,14.85,Pending,2026.0,7.0
PAY20382,P1057,2026-07-30,7.63,Paid,2026.0,7.0
PAY20383,P1057,2026-05-24,13.11,Pending,2026.0,5.0
PAY20384,,2025-11-26,10.9,Paid,2025.0,11.0
PAY20385,P1058,2024-08-17,11.29,Partially Paid,2024.0,8.0
PAY20386,P1058,2026-01-24,14.93,Partially Paid,2026.0,1.0
PAY20387,P1058,2024-10-21,11.8,Approved,2024.0,10.0
PAY20388,P1058,2026-02-11,2.03,On Hold,2026.0,2.0
PAY20389,P1058,2026-06-03,14.84,Paid,2026.0,6.0
PAY20390,P1059,2024-11-29,12.46,Paid,2024.0,11.0
PAY20391,P1059,2024-05-20,12.22,Paid,2024.0,5.0
PAY20392,P1059,2024-08-01,6.14,On Hold,2024.0,8.0
PAY20393,P1059,2025-04-30,9.83,Partially Paid,2025.0,4.0
PAY20394,P1059,2025-10-09,2.08,Pending,2025.0,10.0
PAY20395,P1059,2025-12-09,4.12,On Hold,2025.0,12.0
PAY20396,P1059,2025-09-04,11.93,Pending,2025.0,9.0
PAY20397,P1059,2024-08-04,6.34,Approved,2024.0,8.0
PAY20398,P1059,2023-12-18,13.72,Partially Paid,2023.0,12.0
PAY20399,P1059,2024-02-26,4.15,Approved,2024.0,2.0
PAY20400,P1060,2024-05-04,13.51,Partially Paid,2024.0,5.0
PAY20401,P1060,2024-10-02,3.86,Approved,2024.0,10.0
PAY20402,P1060,2024-03-06,4.61,Partially Paid,2024.0,3.0
PAY20403,P1060,2024-02-29,11.86,Approved,2024.0,2.0
PAY20404,P1061,2025-12-20,0.78,Pending,2025.0,12.0
