Payment_ID,Project_ID,Payment_Date,Amount_Cr,Payment_Status
PAY20104,P1016,2023-02-18 ,2.56,Approved
PAY20105,P1017,2026-08-19,9.57,Pending
PAY20106,P1017,2026-01-30,4.27,Paid
PAY20107,P1017,2027-01-17,9.92,Pending
PAY20108,P1018,2025-08-05,1.38,On Hold
pay20109,P1018,2026-07-10,0.55,On Hold
PAY20110,P1018,2027-01-20,13.8,Paid
PAY20111,P1018,2027-01-03,11.94,Pending
PAY20112,P1018,2027-01-21,12.92,Approved
PAY20113,P1018,2026-07-20,7.81,Paid
PAY20114,P1018,2026-03-16,4.29,Pending
PAY20115,P1019,2025-08-24,14.55,On Hold
PAY20116,P1019,2025-12-08,5.8,Partially Paid
PAY20117,P1019,2025-05-28,3.53,Partially Paid
PAY20118,P1019,2026-01-23,4.36,Approved
PAY20119,P1020,2024-11-01,0.5,Partially Paid
PAY20120,P1020,2024-11-07,14.28,On Hold
PAY20121,P1020,2024-06-14,6.92,On Hold
PAY20122,P1020,2024-05-02,6.11,NA
PAY20123,P1020,2024-12-04,5.7,On Hold
PAY20124,P1020,2024-06-14,9.73,Approved
PAY20125,P1021,2025-01-16,14.64,Paid
PAY20126,P1021,2024-11-06,2.75,Partially Paid
PAY20127,P1021,2024-12-09,3.94,Pending
PAY20128,P1021,2024-05-28,9.34,Partially Paid
PAY20129,P1021,2024-09-28,10.91,On Hold
PAY20130,P1022,2025-02-02,11.57,Approved
PAY20131,P1022,2025-05-03,4.84,Approved
PAY20132 ,P1022,2025-08-19,2.47,Approved
PAY20133,P1022,2025-07-13,8.59,Partially Paid
PAY20134,P1022,2025-01-19,4.21,Pending
PAY20135,P1022,2025-07-30,8.55,partially paid
PAY20136,P1023,2025-11-29,14.4,Pending
PAY20137,P1023,2025-12-03,7.06,Partially Paid
PAY20138,P1023,2026-03-12,8.43,Paid
PAY20139,P1023,2025-08-14,6.53,Paid
PAY20140,P1023,N/A,2.13,Paid
PAY20141,P1023,2025-09-12,7.92,Paid
PAY20142,P1023,2025-09-15,3.16,N/A
PAY20143,P1023,2025-07-11,13.31,Partially Paid
PAY20144,P1023,2025-09-17,9.49,On Hold
PAY20145,P1023,2026-02-26,2.31,On Hold
PAY20146,P1024,2023-03-22,0.39,Paid
PAY20147,P1024,2023-04-28,14.94,Approved
PAY20148,P1024,2023-07-27,5.01,Approved
PAY20149,P1024,2022-07-26,2.34,On Hold
PAY20150,P1024,2022-09-04,12.09,Approved
PAY20151,P1024,2023-07-23,9.17,Partially Paid
PAY20152,P1024,2023-05-26,3.36,Approved
PAY20153,P1024,2022-06-25,2.67,Partially Paid
PAY20154,P1024,2022-02-17,4.94,Pending
PAY20155,P1025,2025-06-21,1.24,Paid
PAY20156,P1025,2025-01-10,10.6,Pending
PAY20157,P1025,2026-02-05,1.63,Partially Paid
PAY20158,P1025,2025-01-29,1.65,ON HOLD
PAY20159,P1025,2025-06-19,9.02,Paid
PAY20160,P1026,2026-08-09,13.28,Approved
PAY20161,P1026,2025-11-03,13.94,Approved
PAY20162,P1026,2026-03-21,12.36,Partially Paid
PAY20163,P1026,2026-08-22,11.01,Approved
PAY20164,P1026,2026-05-21,14.03,On Hold
PAY20165,P1026,2026-07-31,9.71,Pending
PAY20166,P1026,2025-12-05,8.99,Paid
PAY20167,P1026,2026-02-14,4.38,Approved
PAY20168,P1027,2023-06-11,12.0,On Hold
PAY20169,P1027,2024-02-29,5.12,On Hold
PAY20170,P1027,null,14.51,On Hold
PAY20171,P1027,2024-05-31,3.34,Paid
PAY20172,P1028,2024-08-25,1.6,On Hold
PAY20173,P1028,2024-06-15,2.36,PARTIALLY PAID
PAY20174,P1028 ,2024-01-17,5.02,Paid
PAY20175,P1028,2024-06-05,7.8,Partially Paid
PAY20176,P1028,2025-03-27,10.06,Approved
PAY20177,P1028,2024-11-21,7.63,Paid
PAY20178,P1029,2026-07-05,6.05,Partially Paid
PAY20179,P1029,2026-04-08,5.49,On Hold
PAY20180,P1029,2025-10-29,8.08,On Hold
PAY20181,P1029,2025-07-16,14.34,Approved
PAY20182,P1029,2025-05-04,12.64,On Hold
PAY20183,P1029,2026-03-06,7.48,Approved
PAY20184,P1030,2026-12-28,13.52,Approved
PAY20185,P1030,2025-12-04,0.62,Approved
PAY20186,P1030,2026-09-25,11.62,Approved
PAY20187,P1030,2026-08-13,3.4,On Hold
PAY20188,P1031,2023-03-01,5.77, Paid
PAY20189,P1031,2022-08-22,6.77,On Hold
PAY20190,P1031,2022-08-21,0.33,Approved
,P1031,2023-01-05,1.64,Approved
PAY20192,P1031,2022-10-20,7.67,Paid
PAY20193,P1031,2023-10-17,4.28,Approved
PAY20194,P1032,2026-01-15,0.9,Approved
PAY20195,P1032,2025-09-10,9.47,On Hold
PAY20196,P1032,2025-01-04,12.98,Partially Paid
PAY20197,P1032,2026-03-14,7.48,Partially Paid
PAY20198,P1032,2025-03-20,0.81,Paid
PAY20199,P1032,2025-05-09,10.66,Pending
PAY20200,P1032,2025-04-17,1.47,Paid
PAY20201,P1032,2025-01-30,6.79,Paid
PAY20202,P1032,2025-10-21,1.69,On Hold
PAY20203,P1032,2025-09-14,14.76,Pending
PAY20204,P1033,2024-09-13,12.6,Approved
PAY20205,P1033,2024-03-30,13.61,On Hold
PAY20206,P1033, 2024-10-18,7.87,Partially Paid
PAY20207,P1034,2026-10-26,10.13,Paid
PAY20208,P1034,2025-06-27,12.42,On Hold
PAY20209,P1034,2025-05-12,11.0,Paid
PAY20210,P1034,2025-06-06,6.79,Approved
PAY20211,P1034,2026-08-27,3.18,On Hold
null,P1034,2026-02-04,2.8,Paid
PAY20213,P1034,2025-10-26,4.29,Approved
PAY20214,P1034,2025-04-11,5.29,On Hold
PAY20215,P1034,2025-03-10,8.6,Partially Paid
PAY20216,P1035,2023-07-04,13.79,Pending
PAY20217,P1035,2024-05-13,1.52,Approved
PAY20218,P1035,2024-03-03,9.49,Paid
PAY20219,P1035,2024-06-01,2.75,Paid
PAY20220,P1036,2026-01-09,5.77,Paid
PAY20221,P1036,2024-12-04,4.79,Pending
PAY20222,P1036,2024-08-09,4.83,Partially Paid
PAY20223,P1036,2025-01-14,2.88,Pending
PAY20224,P1036,2025-10-26,4.9,Pending
PAY20225,P1036,2024-10-05,4.27,Pending
PAY20226,P1037,2025-10-24,4.08,Partially Paid
PAY20227,P1037,2025-09-22,1.61,Approved
PAY20228,P1037,2026-08-10,5.61,On Hold
PAY20229,P1037,2026-03-31,12.49,Pending
PAY20230,P1037,2025-02-01,14.26,On Hold
PAY20231,P1038,2025-05-07,8.18,Pending
PAY20232,P1038,2026-02-16,5.37,Approved
PAY20233,P1038,2025-06-29,5.3,On Hold
PAY20234,P1038,null,12.49,Approved
PAY20235,P1038,2025-03-01,7.82,Pending
PAY20236,P1038,2025-08-20,3.47,Approved
PAY20237,P1038,2024-12-31,13.85,On Hold
PAY20238,P1038,2026-09-06,3.0,Pending
PAY20239,P1038,2026-03-22,8.91,Approved
PAY20240,P1039,2026-07-09,8.93,Paid
PAY20241,P1039,2026-01-18,10.59,Approved
PAY20242,P1039,2026-10-25,13.54,Pending
PAY20243,P1039,2026-03-09,7.26,Approved
PAY20244,P1039,2026-07-03,13.57,Pending
PAY20245,P1039,2026-02-05,4.77,Partially Paid
PAY20246,P1039,2026-05-12,3.0,Paid
PAY20247,,2026-03-18,12.19,Partially Paid
PAY20248,P1039,2026-06-05,8.75, Partially Paid
PAY20249,P1040,2026-08-21,12.55,Approved
PAY20250,P1040,2026-07-01,9.11,Partially Paid
PAY20251,P1040,2026-12-04,6.17,Paid
PAY20252,P1040,2026-04-20,11.51,On Hold
PAY20253,P1040,2026-02-15,6.46,Approved
PAY20254,P1040,2026-10-13,6.16,Paid
PAY20255,P1040,2026-03-15,7.81,Approved
PAY20256,P1040,2026-10-23,14.49,On Hold
PAY20257,P1040,2026-04-02,14.28,On Hold
PAY20258,P1041,2024-11-05,10.04,Paid
PAY20259,P1041,2024-10-26,4.81,Pending
PAY20260,P1041,2025-04-26,5.36,Partially Paid
PAY20261,P1041,2024-11-14,7.04,Pending
PAY20262,P1041,2024-11-23,13.27,Approved
PAY20263,P1042,2023-11-02,2.97,Pending
PAY20264,P1042,2024-11-01,1.58,Pending
PAY20265,P1042,2024-01-16,10.35,Approved
PAY20266,P1042,2023-08-17,7.29,Approved
PAY20267,P1042,2023-11-22,7.19,Partially Paid
PAY20268,P1042,2024-03-16,13.71,Partially Paid
PAY20269,P1042,2024-11-28,10.67,Paid
PAY20270,P1043,2025-08-09,4.95,Pending
N/A,P1043,2026-05-14,11.66,Approved
PAY20272,P1043,2027-07-18,10.2,Partially Paid
PAY20273,P1043,2026-12-02,6.06,Paid
null,P1043,2026-03-21,7.45,On Hold
PAY20275,P1043,2025-04-27,3.52,on hold
PAY20276,P1043,2025-09-29,11.58,Approved
PAY20277,P1043,2026-04-05,5.26,Paid
PAY20278,P1043,2026-12-16,9.09,Partially Paid
PAY20279,P1044,2024-04-14,2.29,Pending
PAY20280,P1044,2023-10-07,3.37,Partially Paid
PAY20281,P1044,2023-11-26,5.26,Pending
PAY20282,P1044,2024-10-31,2.47,Approved
PAY20283,P1045,null,12.36,Paid
PAY20284,P1045,2022-08-15,14.39,Partially Paid
PAY20285,P1045,2022-07-04,2.66,On Hold
PAY20286,P1045,2023-06-05,1.82,Paid
PAY20287,P1045, 2022-09-28,10.37,Paid
PAY20288,P1045,2023-03-05,12.97,Paid
PAY20289,P1045,2022-06-25,4.96,On Hold
PAY20290,N/A,2022-12-19,5.91,Partially Paid
PAY20291,P1045,2022-04-09,7.42,Partially Paid
PAY20292,P1046,2024-03-23,4.72,
PAY20293,P1046,2025-03-10,9.6,On Hold
PAY20294,P1046,2024-10-12,7.66,Partially Paid
PAY20295,P1046,2025-02-23,5.19,On Hold
PAY20296,P1046,2024-08-29,1.9,Pending
PAY20297,P1046,2024-09-29,8.09,Partially Paid
PAY20298,P1046,2025-02-04,1.43,Paid
PAY20299,P1046,2024-08-15,14.24,On Hold
PAY20300,P1046,2024-07-06,3.16,On Hold
PAY20301,p1047,2023-10-21,0.97,Approved
PAY20302,P1047,2023-04-02,2.04,Partially Paid
PAY20303,P1047,2023-11-03,5.66,On Hold
PAY20304,P1047,2023-09-18,3.97,Approved
PAY20305,P1047,2023-08-11,11.56,Paid
PAY20306,P1047,2023-12-15,4.19,Approved
PAY20307,P1047,2023-09-11,6.4,Partially Paid
PAY20308,P1047,2023-08-26,4.64,Paid
PAY20309,P1047,2023-05-09,5.52,Paid
PAY20310, P1047,2023-12-10,11.15,Pending
PAY20311,P1048,2024-09-20,8.14,Pending
PAY20312,P1048,2026-07-10,2.38,Partially Paid
PAY20313,P1048,2025-09-10,13.42,null
PAY20314,P1048,2025-10-08,10.41,Pending
PAY20315,P1048,2026-10-19,13.58,On Hold
PAY20316,P1049,2024-07-30,1.38,Approved
PAY20317,P1049,2024-07-29,2.41,Paid
PAY20318,P1049,2025-01-21,7.81,Paid
PAY20319,P1049,2024-12-29,13.93,Approved
PAY20320,P1049,2025-02-11,6.16,Pending
PAY20321,P1049,2025-07-27,4.04,Paid
PAY20322,P1049,2025-02-16,14.49,Pending
PAY20323,P1049,2025-04-28,4.1,Approved
PAY20324,P1049,2025-05-21,7.83,Pending
PAY20325,P1049,2025-06-30,12.03,Approved
PAY20326,P1050,2022-11-14,11.47,Partially Paid
PAY20327,P1050,2022-12-14,11.27,pending
PAY20328,P1050,2022-12-15,7.65,Paid
PAY20329,P1050,2023-06-01,6.13,Pending
PAY20330,P1050,2023-07-09,4.45,Paid
PAY20331,P1050,2023-02-20,3.31,Partially Paid
PAY20332,P1050,2023-06-28,2.16,Approved
PAY20333,P1050,2023-03-20,9.09,Approved
PAY20334,P1050,2022-09-14,3.51,Paid
PAY20335,P1050,2023-07-25,5.04,Paid
PAY20336,P1051,2025-02-02,10.75,Partially Paid
PAY20337,P1051,2024-11-23,6.46,On Hold
PAY20338,P1051,2024-07-13,8.24,Partially Paid
PAY20339,P1051,2024-11-07,0.44,Approved
PAY20340,P1051,2024-07-08,5.36,Partially Paid
PAY20341,P1051,2024-04-13,7.06,Partially Paid
PAY20342,P1051,2024-05-13,8.1,Pending
PAY20343,P1052,2026-06-02,6.19,On Hold
PAY20344,P1052,2025-12-03,9.56,On Hold
PAY20345,P1052,2026-09-02,1.48,On Hold
 PAY20346,P1052,2026-09-27,4.73,Approved
PAY20347,P1052,2026-12-20,10.2,Paid
PAY20348,P1052,2026-02-20,9.47,Pending
PAY20349,P1052,2027-06-15,5.44,Partially Paid
PAY20350,P1052,2026-11-13,14.94,Paid
PAY20351 ,,2026-07-01 ,8.46,Partially Paid
PAY20352,P1053,2026-03-22,13.84,PENDING
PAY20353,P1053,2026-03-25,9.21,Paid
PAY20354,P1053,2025-06-10,6.09,Pending
PAY20355,P1053,2025-06-24,8.67,Pending
PAY20356,P1053,2025-08-12,11.56,Partially Paid
PAY20357,P1053,2026-04-25,5.44,Pending
PAY20358,P1054,2026-01-22,9.09,Approved
PAY20359,P1054,2025-11-16,5.61,Paid
PAY20360,P1054,2025-09-23,13.3,Approved
PAY20361,P1054,2025-07-02,8.15,Partially Paid
PAY20362,P1054,2025-02-10,12.92,Partially Paid
PAY20363,P1054,2025-11-09,7.09,Partially Paid
PAY20364,P1054,2025-01-06,13.88,Pending
pay20365,P1054,2025-05-10,4.5,On Hold
PAY20366,P1054,2025-12-16,5.18,Partially Paid
PAY20367,P1055,2025-03-19,5.9,Partially Paid
PAY20368,P1055,2025-08-30,6.3,Paid
PAY20369,P1055,2025-12-10,3.56,On Hold
PAY20370,P1055,2025-12-11,7.67,Paid
PAY20371,P1055,2025-11-30,8.67,Partially Paid
PAY20372,P1056,2025-08-16,9.24,Pending
PAY20373,P1056,2026-04-23,9.48,Paid
PAY20374,P1056,2025-10-02,0.59,On Hold
PAY20375,P1057,2026-08-24,12.99,Pending
,P1057,2026-07-28,5.69,Pending
PAY20377,P1057,2026-03-05,7.21,Pending
PAY20378,P1057,2026-05-20,2.21,Paid
PAY20379,P1057,2025-12-21,3.3,Partially Paid
PAY20380,P1057,2026-07-29,3.86,
PAY20381,P1057,2026-07-21,14.85,Pending
PAY20382,P1057,2026-07-30,7.63,Paid
PAY20383,P1057,2026-05-24,13.11,Pending
PAY20384,null,2025-11-26,10.9,Paid
PAY20385,P1058,2024-08-17,11.29,Partially Paid
PAY20386,P1058,2026-01-24,14.93,Partially Paid
PAY20387,P1058,2024-10-21,11.8,Approved
PAY20388,P1058,2026-02-11,2.03,On Hold
PAY20389,P1058,2026-06-03,14.84,Paid
PAY20390,P1059,2024-11-29,12.46,Paid
PAY20391,P1059,2024-05-20,12.22, Paid
PAY20392,P1059,2024-08-01,6.14,On Hold
PAY20393,P1059,2025-04-30,9.83,Partially Paid
PAY20394,P1059,2025-10-09,2.08,Pending
PAY20395,P1059,2025-12-09,4.12,On Hold
PAY20396,P1059,2025-09-04,11.93,Pending
PAY20397,P1059,2024-08-04,6.34,Approved
PAY20398,P1059,2023-12-18,13.72,Partially Paid
PAY20399,P1059,2024-02-26,4.15,Approved
PAY20400,P1060,2024-05-04,13.51,Partially Paid 
PAY20401,P1060,2024-10-02,3.86,Approved
PAY20402,P1060,2024-03-06,4.61,Partially Paid
PAY20403,P1060,2024-02-29,11.86,Approved
PAY20404,P1061,2025-12-20,0.78,Pending
PAY20405,,2025-05-05,7.95,Paid
PAY20406,P1061,2025-06-12,13.23,On Hold
PAY20407,P1061,2025-08-23,10.78,Approved
PAY20408,P1061,2026-02-20,2.58,Approved
PAY20409,P1061,2025-10-20,10.77,Approved
PAY20410,P1061,2025-05-09,11.22,Pending
PAY20411,P1062,2026-05-31,4.56,Partially Paid
PAY20412,P1062,2025-06-06,9.64,Paid
PAY20413,P1062,2027-02-04,3.37,APPROVED
PAY20414,P1062,2025-02-14,8.87,Approved
PAY20415,P1062,2025-09-23,10.89,On Hold
PAY20416,P1063,2026-02-19,9.37,Pending
PAY20417,P1063,2025-12-13,9.75,On Hold
PAY20418,P1063,2026-08-30,7.64,On Hold
PAY20419,P1063,2025-12-28,5.83,Partially Paid
PAY20420,P1063,2026-05-17,2.74,On Hold
PAY20421,P1063,2026-02-21 ,2.84,Partially Paid
PAY20422,P1063,2025-06-27,10.11,Paid
PAY20423,P1063,2025-12-12,3.57,Pending
PAY20424,P1063,2025-10-12,2.46,On Hold
PAY20425,P1064,2024-11-19,3.15,Partially Paid
PAY20426,P1064,2024-05-08,8.65,Paid
PAY20427,P1064,2024-07-13,13.5,Pending
PAY20428,P1064,2024-01-31,10.05,Partially Paid
PAY20429,P1065,2024-11-15,7.73,Approved
PAY20430,P1065,2024-03-04,14.56,Paid
PAY20431,P1065,2025-03-15,8.61,Pending
PAY20432,P1065 ,2024-08-20,4.03,Pending
PAY20433,P1066,2024-03-01,10.42,Partially Paid
PAY20434,P1066,2024-02-04,0.84,On Hold
PAY20435,P1066,2024-03-21,8.39,Paid
PAY20436,P1066,2024-11-20,3.05,Paid
PAY20437,P1066,,13.57,On Hold 
PAY20438,P1066,2024-04-09,1.15,Pending
PAY20439,P1067,2025-10-01,11.48,Partially Paid
PAY20440,P1067,2025-05-30,1.7,Paid
PAY20441,P1067,2025-01-01,11.9,Paid
PAY20442,P1067,2024-08-29,7.3,Partially Paid
PAY20443,P1067,2024-05-05,7.27,Paid
PAY20444,P1067,2025-08-18,8.94,On Hold
PAY20445,P1068, 2026-06-16,8.65,On Hold
PAY20446,P1068,2026-10-27,12.95,Paid
PAY20447,P1068,2027-08-20,13.33,Pending
PAY20448,P1068,2027-04-08,12.14,On Hold
PAY20449,P1068,2027-09-25,6.98,Paid
PAY20450,P1068,2026-04-27,11.38,On Hold
PAY20451,P1068,2026-05-17,7.52,Pending
PAY20452,P1068,2026-07-15,7.73,On Hold
PAY20453,P1068,2026-05-30,14.28,Approved
PAY20454,P1068,2026-05-10,13.04,Pending
PAY20455,P1069,2026-02-05,10.25,On Hold
PAY20456,P1069,2026-02-23,9.48,Paid
PAY20457,P1069,2025-12-20,7.44,Approved
PAY20458,P1069,2026-06-05,7.19,Pending
PAY20459,P1069,2025-12-18,1.22,Partially Paid
PAY20460,P1069,2026-08-28,4.74,Partially Paid
PAY20461,NA,2026-03-12,9.66,On Hold
PAY20462,P1069,2025-12-20,3.11,Paid
PAY20463,P1070,2026-01-15,4.78,Approved
PAY20464,P1070,2026-05-04,11.55,Partially Paid
PAY20465,P1070,2025-09-24,10.35,On Hold
PAY20466,P1070,2026-01-12,8.67,Pending
PAY20467,P1070,2026-05-08,2.56,Partially Paid
PAY20468,null,2025-12-03,12.82,On Hold
PAY20469,P1071,2024-09-01,14.36,Partially Paid
PAY20470,P1071,2025-08-03,9.03,Partially Paid
PAY20471,P1071,2025-12-10,10.97,Pending
PAY20472,P1071,2024-06-29,7.21,Approved
PAY20473,P1071,2024-10-17,2.39,Approved
PAY20474,P1072,2027-02-26,11.24,Partially Paid
PAY20475,P1072,2026-06-04,6.52,Partially Paid
PAY20476,P1072,2027-01-23,6.4,Partially Paid
PAY20477,P1072,2026-01-26,14.54,Approved
PAY20478,P1072,2026-11-24,12.13,Partially Paid
PAY20479,P1072,2027-01-25,4.29,Pending
PAY20480,P1072,2026-04-14,10.02,Approved
PAY20481,P1072,2026-05-28,12.53,Paid
PAY20482,P1073,2024-02-18,11.92,Approved
PAY20483,P1073,2024-07-01,8.51,Pending
PAY20484,P1073,2023-07-16,9.36,Partially Paid
PAY20485,P1073,2023-09-14,1.83,Pending
PAY20486,P1073,2023-05-21,5.05,Partially Paid
PAY20487,P1073,2024-08-06,7.18,Paid
PAY20488,P1073,2024-10-13,6.0,Partially Paid
PAY20489,P1073,2023-08-20,4.38,On Hold
PAY20490,P1074,2023-01-21,1.75,Approved
PAY20491,P1074,2023-08-31,8.18,Partially Paid
PAY20492,P1074,2023-09-09,1.89,Pending
PAY20493,P1074,2023-02-05,5.04,Partially Paid
PAY20494,P1074,2023-04-26,13.14,On Hold
PAY20495,P1074,2023-09-24,8.72,On Hold
PAY20496,P1074,2023-02-20,6.71,Approved
PAY20497,P1074,2024-06-30,8.31,Approved
PAY20498,P1074,2024-06-14,8.08,Approved
PAY20499,P1075,2024-08-09,11.64,Paid
PAY20500,P1075,2025-02-03,14.37,Approved
PAY20501,P1075,2025-06-18,11.27,Pending
PAY20502,P1076,2026-01-31,7.16,Partially Paid
PAY20503,N/A,2026-02-21,5.16,Approved
PAY20504,P1076,2025-12-28,9.15,Paid
PAY20505,P1076,2025-10-30,2.01,Partially Paid
PAY20506,P1076,2026-03-26,6.1,Partially Paid
PAY20507,P1077,2027-08-03,8.04,On Hold
PAY20508,P1077,2026-04-21,0.49,Partially Paid
PAY20509,P1077,2025-05-06,14.41,Approved
PAY20510,P1078,2026-01-20,8.73,Paid
PAY20511,P1078,2026-09-09,1.36,Paid
PAY20512,P1078,2026-06-10,11.76,On Hold
PAY20513,P1078,2025-11-18,12.03,Paid
PAY20514,P1078,2026-06-18,13.86,On Hold
PAY20515,P1078,2026-07-27,14.9,Paid
PAY20516,P1078,2026-09-25,10.34,Approved
PAY20517,P1078,2026-04-24,6.91,Pending
PAY20518,P1078,2026-07-28,5.12,Pending
PAY20519,P1078,2026-07-26,8.73,Partially Paid
PAY20520,p1079,2027-03-14,0.57,On Hold
PAY20521,NA,2026-05-13,0.34,Partially Paid
PAY20522,P1079,2025-12-23,0.38,Approved
PAY20523,P1079,2026-07-20,2.47,Pending
PAY20524,P1079,,10.2,Approved
PAY20525,P1079,2026-09-12,7.0,Pending
PAY20526,P1079,2027-01-12,12.37,Approved
PAY20527,P1079,2027-03-16,13.23,On Hold
PAY20528,P1079,2026-03-02,3.04,Pending
PAY20529,P1080,2023-01-25,2.93,N/A
PAY20530,P1080,2023-09-13,9.13,Paid
PAY20531,P1080, 2024-05-22,2.13,Approved
PAY20532,P1080,2022-05-25,5.08,Approved
PAY20533,P1080,2022-11-06,9.96,Pending
PAY20534,P1080,2023-01-20,2.66,Approved
PAY20535,P1081,2024-05-12,11.64,Paid
PAY20536,P1081,2024-04-01,13.2,Partially Paid
PAY20537,P1081,2024-03-25,12.55,Partially Paid
PAY20538,P1081,2024-02-04,6.8,Pending
PAY20539,null,2024-08-03,0.98,Partially Paid
PAY20540,P1081,2024-08-13,3.18,Partially Paid
PAY20541,P1082,2022-07-13,14.55,On Hold
