Milestone_ID,Project_ID,Milestone_Name,Planned_Date,Actual_Date,Status
M5109,P1021,Design Approval,2024-01-10,2024-01-30,Completed
M5110,P1021,Foundation,2024-06-09,2024-06-11,
M5111,P1021,Final Handover,2024-11-08,2025-01-07,Completed
M5112,P1022,Foundation,2025-02-06,2025-04-07,Completed
M5113,P1022,Land Acquisition,2025-03-28,2025-05-27,Completed
M5114,P1022,Final Handover,2025-05-16,,Pending
M5115,P1022,Major Construction,2025-07-05,2025-07-05,Completed
M5116,P1023,Major Construction,2025-08-06,2025-09-05,Delayed
M5117,P1023,Foundation,2025-10-21,2025-12-05,Delayed
M5118,P1023,Structural Work,2026-01-05,2026-01-25,Delayed
M5119,P1023,Final Handover,2026-03-22,2026-05-21,Delayed
M5120,P1023,Testing,,2026-08-04,Delayed
M5121,P1024,Foundation,,2022-04-03,Completed
M5122,P1024,,2022-06-23,,Not Started
M5123,P1024,Final Handover,2022-09-14,2022-09-16,Completed
M5124,P1024,Land Acquisition,2022-12-06,2023-02-24,Delayed
M5125,P1024,Testing,2023-02-27,2023-04-28,Completed
M5126,P1024,Major Construction,2023-05-21,2023-05-23,Completed
M5127,P1025,Structural Work,2024-07-12,,Not Started
M5128,P1025,Foundation,2024-12-26,,In Progress
M5129,P1025,Major Construction,2025-06-11,,In Progress
M5130,P1025,Safety Inspection,2025-11-25,2025-11-27,Delayed
M5131,P1026,Safety Inspection,2025-11-15,,Not Started
M5132,P1026,Major Construction,2026-01-03,2026-02-07,Completed
M5133,P1026,Land Acquisition,2026-02-21,2026-02-26,Completed
M5134,P1026,Testing,2026-04-12,,In Progress
M5135,P1026,Foundation,2026-05-31,2026-07-05,Completed
M5136,P1026,Structural Work,2026-07-19,2026-08-08,Completed
M5137,P1027,Safety Inspection,2023-04-29,2023-07-16,Delayed
M5138,P1027,Testing,2023-08-23,,In Progress
M5139,P1027,Foundation,2023-12-17,,In Progress
M5140,P1027,Design Approval,2024-04-11,2024-04-11,Completed
M5141,P1028,Structural Work,2024-03-05,2024-03-07,Completed
M5142,P1028,Testing,2024-05-23,2024-06-02,Completed
M5143,P1028,Major Construction,2024-08-10,2024-09-17,Delayed
M5144,P1028,Final Handover,2024-10-28,,In Progress
M5145,P1028,Foundation,2025-01-15,2025-02-27,Delayed
M5146,P1028,Safety Inspection,2025-04-04,2025-05-09,Completed
M5147,P1029,Testing,2025-01-29,2025-03-30,Completed
M5148,P1029,Foundation,2025-04-20,2025-04-22,Completed
M5149,P1029,Safety Inspection,2025-07-10,,
M5150,P1029,Major Construction,2025-09-29,2025-10-09,Completed
M5151,P1029,Final Handover,2025-12-19,,Pending
M5152,P1029,Design Approval,2026-03-10,2026-03-12,Completed
M5153,P1029,Land Acquisition,2026-05-30,2026-06-19,Delayed
M5154,P1030,Testing,2025-08-28,2025-10-02,Completed
M5155,P1030,Safety Inspection,2025-12-20,2025-12-20,Completed
M5156,P1030,Final Handover,2026-04-13,2026-04-15,Completed
M5157,P1030,Design Approval,2026-08-05,2026-08-07,Delayed
M5158,P1030,Land Acquisition,2026-11-27,2027-01-26,
M5159,P1031,Safety Inspection,2022-05-12,,In Progress
M5160,P1031,Testing,2022-09-18,2022-10-08,Completed
M5161,P1031,Structural Work,2023-01-25,,Pending
M5162,P1031,Final Handover,2023-06-02,,Not Started
M5163,P1031,Major Construction,2023-10-09,2023-11-13,Completed
M5164,P1032,Structural Work,2025-02-04,2025-02-24,Completed
M5165,P1032,Testing,2025-05-08,2025-07-07,Completed
M5166,P1032,Foundation,2025-08-09,2025-08-14,Delayed
M5167,P1032,Safety Inspection,2025-11-09,2026-01-06,Delayed
M5168,P1032,Design Approval,,2026-03-17,Completed
M5169,P1033,Final Handover,2023-12-11,2024-01-15,Completed
M5170,P1033,Foundation,2024-03-14,2024-03-14,Completed
M5171,P1033,Design Approval,2024-06-15,2024-07-20,Completed
M5172,P1033,Testing,2024-09-17,2024-10-22,Completed
M5173,P1033,Structural Work,2024-12-19,,Not Started
M5174,P1033,Land Acquisition,2025-03-23,2025-03-23,Completed
M5175,P1034,Land Acquisition,2025-04-05,2025-04-05,Completed
M5176,P1034,Testing,2025-08-28,2025-08-30,
M5177,P1034,Final Handover,2026-01-20,2026-02-05,Delayed
M5178,P1034,Structural Work,2026-06-14,2026-07-19,Completed
M5179,P1035,Foundation,2023-06-08,2023-06-08,Delayed
M5180,P1035,Structural Work,2023-08-10,2023-08-12,Completed
M5181,P1035,Land Acquisition,2023-10-12,2023-10-14,Completed
M5182,P1035,Major Construction,2023-12-15,2023-12-20,
M5183,P1035,Testing,2024-02-16,2024-02-26,Completed
M5184,P1035,Design Approval,2024-04-19,2024-04-29,Completed
M5185,P1036,Land Acquisition,2024-06-29,,Not Started
M5186,P1036,Final Handover,2024-10-31,2024-10-31,Completed
M5187,P1036,Testing,2025-03-05,,Pending
M5188,P1036,Safety Inspection,2025-07-07,,Not Started
M5189,P1036,Major Construction,2025-11-08,2025-11-13,Completed
M5190,P1037,Land Acquisition,2025-02-23,2025-02-23,Completed
M5191,P1037,Final Handover,2025-05-23,2025-05-23,Completed
M5192,P1037,Design Approval,2025-08-21,2025-09-25,Completed
M5193,P1037,Safety Inspection,2025-11-18,2025-11-28,Completed
M5194,P1037,Foundation,2026-02-15,2026-02-15,Completed
M5195,P1037,Testing,2026-05-16,2026-05-18,Completed
M5196,P1037,Structural Work,2026-08-13,2026-08-23,Completed
M5197,P1038,Final Handover,2025-01-22,,Pending
M5198,P1038,Safety Inspection,2025-04-17,2025-05-07,Delayed
M5199,P1038,Structural Work,2025-07-10,,Not Started
M5200,P1038,Design Approval,2025-10-03,2025-10-23,Delayed
M5201,P1038,Land Acquisition,2025-12-26,2026-01-13,Delayed
M5202,P1038,Testing,2026-03-21,,Not Started
M5203,P1038,Foundation,2026-06-13,,Pending
M5204,P1038,Final Handover,2025-09-05,2025-09-05,Completed
M5205,P1039,Land Acquisition,2025-11-05,2025-12-10,Completed
M5206,P1039,Structural Work,2026-01-04,2026-02-08,Completed
M5207,P1039,Testing,2026-03-06,2026-04-10,Completed
M5208,P1039,Safety Inspection,2026-05-05,2026-06-09,Delayed
M5209,P1039,Major Construction,2026-07-05,2026-09-03,Completed
M5210,P1039,,2026-09-03,2026-09-05,Delayed
M5211,P1040,Foundation,,2026-01-12,Delayed
M5212,P1040,Land Acquisition,2026-03-01,2026-03-03,Completed
M5213,P1040,Structural Work,2026-04-19,2026-06-18,Delayed
M5214,P1040,Final Handover,2026-06-08,2026-06-18,Delayed
M5215,P1040,Design Approval,2026-07-27,2026-08-06,Completed
M5216,P1040,Testing,2026-09-15,,Completed
M5217,P1040,Major Construction,2026-11-03,2026-11-18,Delayed
M5218,P1041,Major Construction,2024-10-22,,In Progress
M5219,P1041,Final Handover,2024-12-10,,In Progress
M5220,P1041,Safety Inspection,,,Pending
M5221,P1041,Design Approval,2025-03-18,,In Progress
M5222,P1042,Testing,2023-10-06,2023-10-11,Completed
M5223,P1042,Final Handover,2023-12-31,2024-01-05,Completed
M5224,P1042,Structural Work,2024-03-26,2024-03-28,Delayed
M5225,P1042,Land Acquisition,2024-06-20,2024-07-25,Delayed
M5226,P1042,Major Construction,2024-09-13,2024-10-03,Completed
M5227,P1042,Foundation,2024-12-08,2025-02-06,Delayed
M5228,P1042,Safety Inspection,2025-03-04,2025-05-03,Completed
M5229,P1043,Design Approval,2025-07-10,2025-07-30,Completed
M5230,P1043,Safety Inspection,2025-11-18,2025-11-18,Completed
M5231,P1043,Structural Work,2026-03-29,2026-04-08,Delayed
M5232,P1043,Land Acquisition,2026-08-07,2026-10-06,Completed
M5233,P1043,Major Construction,2026-12-16,2026-12-18,Completed
M5234,P1043,Final Handover,2027-04-26,2027-05-31,Completed
M5235,P1044,Safety Inspection,2023-10-15,2023-10-25,Completed
M5236,P1044,Major Construction,2024-01-07,2024-01-27,Completed
M5237,P1044,Testing,2024-03-31,2024-04-20,Completed
M5238,P1044,Design Approval,2024-06-23,2024-07-13,Completed
M5239,P1044,Foundation,2024-09-15,2024-10-05,Completed
M5240,P1044,Final Handover,2024-12-08,2025-01-12,Completed
M5241,P1044,Structural Work,2025-03-02,2025-04-06,Completed
M5242,P1045,Design Approval,2022-05-14,2022-06-18,Delayed
M5243,P1045,Safety Inspection,2022-07-23,2022-09-21,Completed
M5244,P1045,,2022-10-02,2022-10-12,Completed
M5245,P1045,Major Construction,2022-12-11,2022-12-11,Delayed
M5246,P1045,Structural Work,2023-02-20,2023-03-27,Completed
M5247,P1045,,2023-05-01,2023-06-30,Completed
M5248,P1046,Major Construction,2024-03-24,2024-05-23,Delayed
M5249,P1046,Design Approval,2024-05-22,2024-07-21,Completed
M5250,P1046,Land Acquisition,2024-07-20,,Not Started
M5251,P1046,Foundation,2024-09-16,2024-10-06,Completed
M5252,P1046,Safety Inspection,,,Pending
M5253,P1046,Final Handover,2025-01-12,,In Progress
M5254,P1047,Testing,2023-03-22,,Not Started
M5255,P1047,Major Construction,2023-05-01,,Not Started
M5256,P1047,Land Acquisition,2023-06-09,2023-06-29,Completed
M5257,P1047,Final Handover,2023-07-19,,Pending
M5258,P1047,Foundation,2023-08-28,2023-08-30,Completed
M5259,P1047,Safety Inspection,2023-10-06,2023-10-08,Completed
M5260,P1047,Design Approval,2023-11-15,2023-11-25,Completed
M5261,P1048,Foundation,2024-10-05,2024-10-07,Completed
M5262,P1048,Design Approval,2025-02-13,2025-02-18,Completed
M5263,P1048,Major Construction,2025-06-24,,Not Started
M5264,P1048,Final Handover,2025-11-02,,Not Started
M5265,P1048,Land Acquisition,2026-03-13,2026-05-12,Completed
M5266,P1048,Safety Inspection,2026-07-22,2026-08-26,Completed
M5267,P1049,Foundation,2024-08-19,2024-09-08,Delayed
M5268,P1049,Major Construction,2024-10-28,2024-10-30,Completed
M5269,P1049,Land Acquisition,2025-01-06,2025-03-04,Delayed
M5270,P1049,Safety Inspection,2025-03-17,2025-03-19,Delayed
M5271,P1049,Design Approval,2025-05-26,,Not Started
M5272,P1050,Design Approval,2022-10-10,2022-11-14,Completed
M5273,P1050,Testing,2023-01-23,,Not Started
M5274,P1050,Foundation,2023-05-08,,In Progress
M5275,P1050,Structural Work,2023-08-21,,Pending
M5276,P1051,Major Construction,2024-02-29,2024-03-20,Delayed
M5277,P1051,Final Handover,2024-05-02,2024-05-07,Completed
M5278,P1051,Testing,2024-07-04,2024-07-04,Completed
M5279,P1051,Foundation,2024-09-05,2024-11-04,Completed
M5280,P1051,Land Acquisition,2024-11-07,2024-11-09,Completed
M5281,P1051,Safety Inspection,2025-01-09,2025-01-19,Completed
M5282,P1051,Design Approval,2025-03-13,2025-05-12,Delayed
M5283,P1052,Foundation,2026-01-10,2026-01-10,Completed
M5284,P1052,Land Acquisition,2026-06-07,2026-06-12,Completed
M5285,P1052,Structural Work,2026-11-03,,Pending
M5286,P1052,Final Handover,2027-03-31,,In Progress
M5287,P1053,Final Handover,2025-04-14,,Not Started
M5288,P1053,Testing,2025-06-25,2025-07-30,Completed
M5289,P1053,Structural Work,2025-09-05,,Not Started
M5290,P1053,Safety Inspection,2025-11-17,2026-01-16,Completed
M5291,P1053,Foundation,2026-01-28,2026-02-17,Completed
M5292,P1053,,2026-04-10,2026-05-15,Completed
M5293,P1053,Design Approval,2026-06-21,,In Progress
M5294,P1054,Safety Inspection,2024-11-22,2024-12-02,Completed
M5295,P1054,Structural Work,2025-01-26,,Pending
M5296,P1054,Testing,2025-04-02,2025-06-01,Completed
M5297,P1054,Land Acquisition,2025-06-06,,Pending
M5298,P1054,Final Handover,2025-08-10,2025-09-12,Delayed
M5299,P1054,Major Construction,2025-10-15,2025-10-15,Delayed
M5300,P1054,Foundation,2025-12-19,2025-12-19,Completed
M5301,P1055,Testing,2025-02-28,2025-03-02,Completed
M5302,P1055,Design Approval,2025-05-01,2025-05-03,Completed
M5303,P1055,Structural Work,2025-07-01,2025-07-21,Delayed
M5304,P1055,Major Construction,2025-09-01,2025-09-01,Completed
M5305,P1055,Safety Inspection,2025-11-01,2025-11-06,Completed
M5306,P1056,Final Handover,2024-12-18,2025-01-07,Completed
M5307,P1056,Foundation,2025-04-19,,In Progress
M5308,P1056,Safety Inspection,2025-08-19,2025-08-24,Completed
M5309,P1056,Design Approval,2025-12-18,,Pending
M5310,P1056,Major Construction,2026-04-19,,In Progress
M5311,P1057,Safety Inspection,2025-12-18,2026-01-22,Delayed
M5312,P1057,Design Approval,2026-01-29,2026-02-03,Completed
M5313,P1057,Land Acquisition,2026-03-12,2026-03-17,Delayed
M5314,P1057,Foundation,2026-04-23,2026-04-28,Completed
M5315,P1057,Final Handover,2026-06-04,2026-06-04,Completed
M5316,P1057,Testing,2026-07-16,2026-07-16,Completed
M5317,P1058,Structural Work,2024-11-03,2025-01-02,Completed
M5318,P1058,Foundation,2025-02-27,2025-03-19,Delayed
M5319,P1058,Testing,2025-06-22,2025-06-24,Completed
M5320,P1058,Land Acquisition,2025-10-16,2025-11-05,Delayed
M5321,P1058,Major Construction,2026-02-08,2026-02-10,Completed
M5322,P1059,Structural Work,2023-10-18,2023-11-07,Completed
M5323,P1059,Safety Inspection,2024-02-10,2024-04-10,Completed
M5324,P1059,Major Construction,2024-06-03,2024-06-05,Delayed
M5325,P1059,Foundation,2024-09-26,2024-10-16,Completed
M5326,P1059,Design Approval,2025-01-18,2025-01-28,Completed
M5327,P1059,Final Handover,2025-05-13,2025-07-12,Delayed
M5328,P1059,Land Acquisition,2025-09-04,2025-09-09,Completed
M5329,P1060,Land Acquisition,2023-11-10,2023-11-20,Completed
M5330,P1060,Testing,2024-02-06,2024-03-12,Completed
M5331,P1060,Design Approval,2024-05-04,2024-05-24,Completed
M5332,P1060,Major Construction,2024-07-31,,In Progress
M5333,P1060,Foundation,2024-10-27,2024-12-03,Delayed
M5334,P1061,Safety Inspection,2025-03-19,2025-03-24,Completed
M5335,P1061,Foundation,2025-05-17,2025-05-27,Completed
M5336,P1061,Major Construction,2025-07-15,2025-07-17,Delayed
M5337,P1061,Land Acquisition,2025-09-12,2025-09-12,Completed
M5338,P1061,Final Handover,2025-11-09,2025-11-11,Completed
M5339,P1061,Design Approval,2026-01-07,2026-02-11,Completed
M5340,P1061,Testing,2026-03-07,,In Progress
M5341,P1062,Design Approval,2024-12-30,2025-02-03,Delayed
M5342,P1062,Structural Work,2025-05-14,2025-05-14,Completed
M5343,P1062,Testing,2025-09-26,2025-09-28,
M5344,P1062,Safety Inspection,2026-02-08,2026-02-08,Completed
M5345,P1062,Major Construction,2026-06-23,2026-06-28,Completed
M5346,P1062,Land Acquisition,2026-11-05,2026-11-15,Completed
M5347,P1063,Design Approval,2025-07-30,2025-09-28,Delayed
M5348,P1063,Final Handover,2025-10-09,2025-12-08,Completed
M5349,P1063,Structural Work,2025-12-19,2026-01-08,Completed
M5350,P1063,Major Construction,2026-02-28,2026-04-04,Completed
M5351,P1063,Testing,2026-05-10,2026-05-30,Completed
M5352,P1063,Safety Inspection,2026-07-20,2026-07-30,Completed
M5353,P1064,Land Acquisition,2023-05-18,,Pending
M5354,P1064,Design Approval,2023-10-09,,Pending
M5355,P1064,Major Construction,2024-03-01,2024-03-21,Completed
M5356,P1064,Testing,2024-07-23,,Not Started
M5357,P1065,Design Approval,2024-03-06,,Not Started
M5358,P1065,Structural Work,2024-06-28,,Not Started
M5359,P1065,Testing,2024-10-19,2024-12-26,Delayed
M5360,P1065,Final Handover,2025-02-10,2025-02-10,Delayed
M5361,P1066,Final Handover,2023-12-29,2024-01-03,Delayed
M5362,P1066,Safety Inspection,2024-03-21,2024-05-20,Completed
M5363,P1066,Structural Work,2024-06-12,2024-07-02,Delayed
M5364,P1066,Foundation,2024-09-03,2024-09-03,Completed
M5365,P1066,Land Acquisition,2024-11-25,2024-11-25,Completed
M5366,P1067,,2024-04-29,2024-05-19,Completed
M5367,P1067,Testing,2024-08-17,2024-09-06,Delayed
M5368,P1067,Foundation,2024-12-04,2025-01-23,Delayed
M5369,P1067,Final Handover,2025-03-24,,In Progress
M5370,P1067,Safety Inspection,2025-07-12,2025-09-17,Delayed
M5371,P1067,Land Acquisition,2025-10-29,2026-01-13,Delayed
M5372,P1067,Major Construction,2026-02-16,2026-03-08,Delayed
M5373,P1068,Major Construction,2025-11-14,2025-11-16,Delayed
M5374,P1068,Final Handover,2026-03-17,2026-04-21,Delayed
M5375,P1068,Foundation,2026-07-18,2026-08-07,Delayed
M5376,P1068,Structural Work,2026-11-19,2026-12-10,Delayed
M5377,P1068,Design Approval,2027-03-22,2027-04-26,Completed
M5378,P1068,Testing,2027-07-23,,Pending
M5379,P1069,Safety Inspection,2025-10-07,,Not Started
M5380,P1069,Land Acquisition,2025-11-26,2025-12-06,Completed
M5381,P1069,Final Handover,2026-01-14,,Not Started
M5382,P1069,Foundation,2026-03-05,2026-05-04,Completed
M5383,P1069,Design Approval,2026-04-24,,In Progress
M5384,P1069,Structural Work,2026-06-12,2026-08-11,Completed
M5385,P1069,Testing,2026-08-01,2026-09-30,Completed
M5386,P1070,Land Acquisition,2025-09-15,2025-09-20,Delayed
M5387,P1070,Foundation,2026-01-20,2026-01-30,Delayed
M5388,P1070,Design Approval,2026-05-27,2026-06-12,Delayed
M5389,P1070,Final Handover,2026-09-30,2026-10-23,Delayed
M5390,P1070,Testing,2027-02-04,,Not Started
M5391,P1071,Testing,2024-01-02,,Not Started
M5392,P1071,Foundation,2024-05-01,2024-05-03,Delayed
M5393,P1071,Safety Inspection,2024-08-29,2024-09-18,Completed
M5394,P1071,Design Approval,2024-12-27,2025-01-01,Completed
M5395,P1071,Major Construction,2025-04-26,,In Progress
M5396,P1071,Structural Work,2025-08-24,,Not Started
M5397,P1072,Final Handover,2026-02-06,,In Progress
M5398,P1072,Structural Work,2026-04-16,,Not Started
M5399,p1072,Major Construction,2026-06-24,,In Progress
M5400,P1072,Safety Inspection,2026-09-01,2026-09-01,Delayed
M5401,P1072,Design Approval,2026-11-09,,Pending
M5402,P1072,Testing,2027-01-17,,Pending
M5403,P1073,Safety Inspection,2023-02-22,,Pending
M5404,P1073,Foundation,2023-06-09,2023-06-19,Completed
M5405,P1073,Major Construction,2023-09-24,2023-09-26,Delayed
M5406,P1073,Testing,2024-01-08,2024-01-10,Completed
M5407,P1073,Land Acquisition,2024-04-24,2024-05-29,
M5408,P1073,Final Handover,2024-08-09,2024-08-11,Completed
M5409,P1074,Major Construction,2023-02-09,,In Progress
M5410,P1074,Design Approval,2023-05-30,2023-05-30,Completed
M5411,P1074,,2023-09-17,,Not Started
M5412,P1074,Testing,2024-01-05,,In Progress
M5413,P1074,Final Handover,2024-04-24,,Not Started
M5414,P1075,Final Handover,2024-06-09,2024-06-29,Completed
M5415,P1075,Foundation,2024-09-30,2024-11-29,Completed
M5416,P1075,Major Construction,2025-01-21,2025-03-22,Completed
M5417,P1075,Safety Inspection,2025-05-14,2025-07-13,Delayed
M5418,P1076,Land Acquisition,2025-09-01,,In Progress
M5419,P1076,Major Construction,2025-10-14,2025-10-14,Completed
M5420,P1076,Foundation,2025-11-26,,In Progress
M5421,P1076,Structural Work,2026-01-08,,In Progress
M5422,P1076,Design Approval,2026-02-19,2026-04-20,Completed
M5423,P1076,Safety Inspection,2026-04-03,2026-04-08,
M5424,P1076,Final Handover,2026-05-16,2026-06-05,Completed
M5425,P1077,Foundation,2025-07-17,2025-09-16,Delayed
M5426,P1077,Structural Work,2025-11-28,,In Progress
M5427,P1077,Safety Inspection,2026-04-11,2026-05-01,Completed
M5428,P1077,Design Approval,2026-08-23,,Not Started
M5429,P1077,Testing,2027-01-04,2027-01-04,Completed
M5430,P1077,Final Handover,2027-05-18,,Not Started
M5431,P1078,Safety Inspection,2025-09-30,2025-10-02,Completed
M5432,P1078,Design Approval,2025-12-02,,In Progress
M5433,P1078,Final Handover,2026-02-02,2026-04-03,Completed
M5434,P1078,Testing,2026-04-06,2026-05-11,Completed
M5435,P1078,Structural Work,2026-06-07,2026-08-06,Completed
M5436,P1078,Land Acquisition,2026-08-09,2026-09-13,Completed
M5437,P1078,Foundation,2026-10-10,2026-10-15,Completed
M5438,P1079,Testing,2026-01-23,2026-01-28,Completed
M5439,P1079,Major Construction,2026-04-04,,Not Started
M5440,P1079,Safety Inspection,2026-06-14,,Pending
M5441,P1079,Foundation,2026-08-24,,In Progress
M5442,P1079,Final Handover,2026-11-03,2026-12-08,Delayed
M5443,P1079,Land Acquisition,2027-01-13,,In Progress
M5444,P1080,Safety Inspection,2022-08-15,,Pending
M5445,P1080,Major Construction,2023-02-14,,Not Started
M5446,P1080,Foundation,2023-08-16,,In Progress
M5447,P1080,Structural Work,2024-02-15,2024-03-06,Delayed
M5448,P1081,Design Approval,2024-03-24,2024-04-28,Completed
M5449,P1081,Final Handover,2024-06-25,,Not Started
M5450,P1081,Foundation,2024-09-26,,In Progress
M5451,P1081,Safety Inspection,2024-12-28,,In Progress
M5452,P1082,Safety Inspection,2022-06-22,,Not Started
M5453,P1082,Design Approval,2022-10-04,,Pending
M5454,P1082,Final Handover,2023-01-16,2023-01-26,Completed
M5455,P1082,Land Acquisition,2023-04-30,2023-05-10,Completed
M5456,P1082,Testing,2023-08-12,2023-08-22,Completed
